series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS	63.4	63.4	2015	63.4	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	74.1	75.3	2015	75.3	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	65.45	66.75	2015	66.75	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS	3.132	3.115	2015	3.115	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	7524	7443	2015	7443	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	5150	4953	2015	4953	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	METONS	11146		2010	11146	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	METONS	628	639	2015	639	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	METONS						
