series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	T_PER_HA	46.963	46.963	2015	46.963	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	T_PER_HA	95.4528	97.6021	2015	97.6021	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	T_PER_HA						
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	T_PER_HA	34.1241	34.1258	2015	34.1258	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	T_PER_HA	176.8293	177.5637	2015	177.5637	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	T_PER_HA						
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	T_PER_HA	128.6594	128.647	2015	128.647	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	T_PER_HA						
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	T_PER_HA						
2017.Q2.G.01	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	T_PER_HA	180.0951	182.6866	2015	182.6866	Official submission of country data to FAO Global Forest Resources Assessment	C
