geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	66.02688198	33.83160199	2	AFG	Afghanistan					
8	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	20.06660928	41.13897007	6	ALB	Albania	162.1	Float		FAO estimates	E
8	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	20.06660928	41.13897007	6	ALB	Albania					
10	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	2.678164227	28.15940032	66	DZA	Algeria	119	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
12	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	2.678164227	28.15940032	66	DZA	Algeria	119	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
16	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-170.7187269	-14.30587306	12	ASM	American Samoa	0	Float		FAO estimates	E
16	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-170.7187269	-14.30587306	12	ASM	American Samoa	0	Float		FAO estimates	E
20	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	1.576257417	42.54548611	7	AND	Andorra					
20	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	1.576257417	42.54548611	7	AND	Andorra					
24	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	17.57817062	-12.33724746	3	AGO	Angola	1862	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
24	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	17.57817062	-12.33724746	3	AGO	Angola	1862	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
28	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	50.01064725	40.39229544	19	AZE	Azerbaijan					
32	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-65.14563274	-35.19446255	10	ARG	Argentina	1160	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
32	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-65.14563274	-35.19446255	10	ARG	Argentina	1936	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	134.3499412	-25.57717202	17	AUS	Australia	19011	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	134.3499412	-25.57717202	17	AUS	Australia	21422	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
40	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	14.14172472	47.58704857	18	AUT	Austria	659	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
40	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	14.14172472	47.58704857	18	AUT	Austria	659	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
44	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-78.05111663	24.69546597	27	BHS	Bahamas					
44	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-78.05111663	24.69546597	27	BHS	Bahamas					
48	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	50.5490754	26.04407747	26	BHR	Bahrain					
48	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	50.5490754	26.04407747	26	BHR	Bahrain					
50	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	89.17660788	22.86961622	24	BGD	Bangladesh	248	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
50	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	89.17660788	22.86961622	24	BGD	Bangladesh	271	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
51	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	44.93839317	40.29499741	11	ARM	Armenia					
51	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	44.93839317	40.29499741	11	ARM	Armenia					
52	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-59.5346489	13.13648273	35	BRB	Barbados					
52	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-59.5346489	13.13648273	35	BRB	Barbados					
56	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	4.660976456	50.64104975	21	BEL	Belgium	26.3	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
56	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	4.660976456	50.64104975	21	BEL	Belgium	26.3	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
60	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-64.78155012	32.27881922	32	BMU	Bermuda					
60	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	90.45098484	27.39598568	37	BTN	Bhutan	880.646	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
64	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	90.45098484	27.39598568	37	BTN	Bhutan	887.415	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
68	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	10680	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
68	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	10680	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
70	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina					
70	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTPRCTN	Forest area within legally established protected areas	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina					
