series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	2.069822	2.069822	2.069822	2.069822	2.069822	2015	2.069822	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	28.788321	28.076642	28.554745	28.332117	28.156934	2015	28.156934	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	0.699908	0.662961	0.644907	0.805294	0.821248	2015	0.821248	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT	91.94	90.25	89.405	88.56	87.715	2015	87.715	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT	34.042553	34.042553	34.042553	34.042553	34.042553	2015	34.042553	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	48.909922	47.908879	47.408358	46.907837	46.407315	2015	46.407315	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT	23.409091	22.727273	22.272727	22.272727	22.272727	2015	22.272727	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	10.305113	10.547073	10.612403	12.198456	13.78451	2015	13.78451	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	12.713534	11.641801	11.030113	10.449119	9.906858	2015	9.906858	Official submission of country data to FAO Global Forest Resources Assessment	C
