series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	16.1	2015	16.1	Food and Agriculture Organisation of the United Nations (FAO)	G
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	4	66.02688198	33.83160199	AFG	Afghanistan	2	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	13.7	2015	13.7	Food and Agriculture Organisation of the United Nations (FAO)	G
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	4	66.02688198	33.83160199	AFG	Afghanistan	3	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	18.5	2015	18.5	Food and Agriculture Organisation of the United Nations (FAO)	G
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	9.9	2015	9.9	Food and Agriculture Organisation of the United Nations (FAO)	G
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	8	20.06660928	41.13897007	ALB	Albania	2	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	8.6	2015	8.6	Food and Agriculture Organisation of the United Nations (FAO)	G
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	8	20.06660928	41.13897007	ALB	Albania	3	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	11.2	2015	11.2	Food and Agriculture Organisation of the United Nations (FAO)	G
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	10	21.47585697	-80.40897662	ATA	Antarctica	2	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB					
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	10	21.47585697	-80.40897662	ATA	Antarctica	3	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB					
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	12	2.678164227	28.15940032	DZA	Algeria	1	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					
2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population	12	2.678164227	28.15940032	DZA	Algeria	2	15+	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB					
