series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT																			1.037101	1.218926	2.146388	1.033724	1.225799	1.565155	1.336949	1.55796	1.3439174	2015	1.55796		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT			21.396779	27.034267	15.465783	17.624259	16.618912	12.725098	18.622718	11.924701	16.459052	17.220919	16.54018	15.464711	15.867307	15.808011	15.117551	13.718516	11.606221	10.946969	9.692515	8.732263	8.336631	8.558957	8.635987	9.185397	8.689847	2015	9.185397		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	0.567329	2.821808	2.895634	2.282444	3.279068	2.681732	1.874674	2.200181	2.199729	1.624157	1.441867	1.223862	1.885121	2.578693	2.883094	0.164732	0.161501	0.073349	0.060603	0.109566	0.121948	0.101428	0.102772	0.099951	0.142338	0.164773	0.1222524	2015	0.164773		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT							0.068319												0.097512	0.000215	0.021792	0.000197	3.9e-05	0	0.02443	0.01083	0.0070992	2015	0.01083		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT	3.200787	0.742746	0.640645	2.547357	2.389205	0.674511	2.268465	2.749745	3.580431	3.350284	2.21257	3.059929	1.77466	1.949084	1.959315	1.835368	1.702491	1.612039	1.620099	1.712412	1.778685	1.795936	1.731219	1.759751	1.730366	1.727526	1.7489596	2015	1.727526		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT						0.098281	0.129	0.131122	0.141553	1.189464	1.083561	1.824316	2.618928	2.143513	2.34523	4.705286	3.765969	3.835769	3.107983	2.8327	2.66583	2.870407	2.895611	2.356113	2.455416	2.394029	2.5943152	2015	2.394029		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	0.016158	0.010078	0.006731	0.024373	0.024239	0.024648	0.023884	0.022434	0.022914	0.022679	0.030381	0.070563	0.211442	0.214301	0.18935	0.217418	0.23276	0.21091	0.192932	0.186376	0.152091	0.131541	0.105586	0.096695	0.095809	0.082623	0.1024508	2015	0.082623		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	0.762034	0.76324	0.592182	0.353219	0.395584	0.448732	0.538015	0.486271	0.446177	0.522141	0.124914	0.128612	0.118145	0.139718	0.134607	0.135686	0.135877	0.1573	0.144708	0.144043	0.163228	0.176218	0.156446	0.15278	0.155247	0.157785	0.1596952	2015	0.157785		
