series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	2.768823	8.205971	116.488143	103.500956	330.931693	603.658994	1045.237397	1083.252181	1589.237726	1958.853358	1352.236984	2027.590237	1838.748168	1056.2931	1052.637536	1199.557411	1434.9652904	2015	1199.557411		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	110.51278	67.008935	60.321963	54.948085	39.202082	96.149399	87.008873	58.019327	58.245076	70.866653	63.423379	81.05676	75.654883	34.426228	81.497051	45.333851	63.5937546	2015	45.333851		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	339.001227	270.582315	36.048493	29.389467	34.493152	47.653559	35.3929	34.008648	29.368047	30.840196	30.280308	31.497629	25.175848	74.421232	50.068143	32.266734	42.6859172	2015	32.266734		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	49.606099	28.389482	31.244081	29.119064	36.671743	39.631672	33.470797	49.516044	29.101963	36.140372	22.925407	23.07652	21.521302	20.277267	27.667524	235.71078	65.6506786	2015	235.71078		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD	6.681739	8.427101	7.877189	2.067461	0.522431	0.466054	0.61914	1.11909	1.193517	1.915099	0.715876	1.170864	0.577415	1.143564	1.074022	0.853622	0.9638974	2015	0.853622		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	20.881199	53.800015	19.422009	21.709448	17.517536	27.649515	35.973745	35.887217	49.374851	39.958315	49.30036	88.462832	67.533456	60.47777	51.00458	39.818879	61.4595034	2015	39.818879		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	260.680621	2737.906462	201.52659	571.459961	147.864556	72.952093	68.812987	167.474296	65.521643	835.002892	397.919968	339.591045	370.816485	421.129029	274.654499	331.778948	347.5940012	2015	331.778948		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD	0.039063	92.770984	0.034053	0.139614	0.048548													2004	0.048548		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CON_USD	194.039408	205.660305	140.639664	183.064804	337.262636	187.008185	239.624708	242.931778	388.190151	177.548218	264.379577	329.413856	510.596885	570.245299	424.491826	453.89456	457.7284852	2015	453.89456		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CON_USD	24.848434	112.466034	64.215473	57.690991	48.4144	49.298167	74.769847	73.627783	65.212129	73.242077	53.158729	34.584379	69.997634	84.220999	100.961213	135.057698	84.9643846	2015	135.057698		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CON_USD	1.298397	10.606191	0.80203	3.797663	2.313957	1.149177	3.90933	3.619773	4.258539	30.401452	54.461316							2010	54.461316		
