series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD	11.75225	0.556357	0.842096	15.28568	67.21792	65.49836	98.11317	169.5844	368.4673	287.2792	271.5618	234.2594	193.8619	219.2516	241.24278	2015	219.2516		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD	9.241912	4.245167	8.991774	14.09174	15.77852	13.8164	27.79681	26.788	15.02252	15.70347	14.12105	41.25989	19.58086	17.13974	21.561002	2015	17.13974		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CON_USD	5.329968	5.217195	17.57079	26.77859	33.80108	61.39483	106.7974	140.5533	136.3481	142.4825	88.19292	143.786	164.3892	197.4568	147.261484	2015	197.4568		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD																			
