series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	0.02051	0.021407	0.020174	0.016245	0.015919	0.012876	0.02219	0.021875	0.028473	0.029992	0.030373	0.034939	0.047294	0.035385	0.035503	0.030763	0.0367768	2015	0.030763		
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	0.0368	0.074928	0.038409	0.04302	0.0372	0.042832	0.051767	0.044021	0.046956	0.060255	0.048416	0.041856	0.036953	0.046219	0.040894	0.044767	0.0421378	2015	0.044767		
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT																					
2017.Q2.G.01	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT																					
