series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	0.266644	0.251897	0.255604	0.2472	0.245141	0.247574	0.295075	0.322592	0.316008	0.293623	0.322727	0.343566	0.36093	0.330898	0.314311	0.291112	0.250279	0.309506	2016	0.250279		
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	0.234436	0.341561	0.255124	0.201613	0.232908	0.521781	0.468866	0.498059	0.428275	0.302039	0.322422	0.267127	0.280216	0.273521	0.284369	0.353749	0.407088	0.3197886	2016	0.407088		
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT	0.35774	0.368331	0.432461	0.601762	0.409653	0.525709	0.499264	0.426107	0.478601	0.54998	0.639711	0.536292	0.474599	0.45299	0.463023	0.416077	0.492745	0.4598868	2016	0.492745		
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																						
2017.Q2.G.01	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT																						
