series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	4.181446	15.736007	13.268933	27.134074	68.136293	174.872381	100.228889	92.014966	277.671939	583.817611	673.891501	593.718078	501.586469	351.681762	367.533043	328.144457	428.5327618	2015	328.144457		
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	11.299383	37.578277	15.350663	16.429804	11.025743	11.288343	11.795051	11.743969	11.824334	18.229691	13.826381	13.05346	13.292376	11.055049	13.840203	38.881605	18.0245386	2015	38.881605		
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	1.714123	19.210949	19.142263	25.471962	18.900052	14.047067	7.213292	16.994726	7.953288	26.372605	6.540272	7.900041	7.996194	3.970096	6.093441	4.916257	6.1752058	2015	4.916257		
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	7.749213	10.210278	7.577432	11.849889	5.034293	6.836583	17.232452	17.82346	38.830006	40.965262	31.902047	29.105975	22.226633	27.197665	23.300589	13.563423	23.078857	2015	13.563423		
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD	6.224157	5.902654	7.920216	2.339511	0.963158	4.658596	1.77253	0.145305	0.362258	0.645462	4.755439	6.370624	0.216985	0.44885	0.301546	0.526836	1.5729682	2015	0.526836		
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	71.940379	22.634897	17.701407	15.996348	18.495455	22.514742	15.027689	20.635006	22.53688	26.763681	16.158444	8.501847	17.467362	23.98841	35.575367	51.205098	27.3476168	2015	51.205098		
2017.Q2.G.01	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2015 United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	9.823148	3.768965	11.933482	35.960184	48.446725	54.270993	38.835828	35.449254	22.444775	152.805865	196.400022	117.52117	131.784537	146.42156	154.970057	127.927446	135.724954	2015	127.927446		
