series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	124.130234	133.325869	140.365387	216.433188	234.080043	166.130996	178.0670966	2015	166.130996		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	4.087806	4.209039	2.322117	0.863792	1.020102	0.499571	1.7829242	2015	0.499571		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	1.472597	2.659775	0.453587	0.269642	0.142517	0.299222	0.7649486	2015	0.299222		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	53.853465	35.99926	63.16786	65.561527	45.146363	49.440943	51.8631906	2015	49.440943		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD						0.003781	0.003781	2015	0.003781		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	8.519954	12.644315	3.968845	9.494896	7.530017	5.24054	7.7757226	2015	5.24054		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	16.527594	5.624603	0.758734	-4.006943	0.641579	-53.61349	-10.1191034	2015	-53.61349		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CON_USD	174.59732	149.490854	123.916828	250.907611	140.271918	213.696036	175.6566494	2015	213.696036		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CON_USD	13.886737	10.133058	8.553474	9.162167	5.481998	5.307315	7.7276024	2015	5.307315		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CON_USD	0.009577							2010	0.009577		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CON_USD	0.418195	1.372872	2.036517	1.841237	3.064298	4.029311	2.468847	2015	4.029311		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CON_USD	27.83879	29.198419	27.265009	19.642266	15.543365	20.958221	22.521456	2015	20.958221		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CON_USD	7.347889	5.744233	6.373167	5.062557	9.912837	4.165524	6.2516636	2015	4.165524		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CON_USD	4.492622	3.874308	2.647118	3.273457	3.792203	3.278015	3.3730202	2015	3.278015		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD	15.244658	19.609227	2.582354	6.895557	0.846927	1.101615	6.207136	2015	1.101615		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD	0.785004	0.529296	0.475784	0.660549	1.16694	3.190851	1.204684	2015	3.190851		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD	8.6302	5.359847	4.738143	23.066472	4.565632	17.100458	10.9661104	2015	17.100458		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD											
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD	61.952639	37.179889	90.599923	113.399353	141.92608	92.573466	95.1357422	2015	92.573466		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD	46.309218	42.68715	37.062269	50.201083	42.365863	49.483365	44.359946	2015	49.483365		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD	9.462411	5.016008	6.031884	5.334545	5.404347	1.242	4.6057568	2015	1.242		
2017.Q2.G.01	DC_TOF_HLTHNT	Total net official disbursements for medical research and basic heath sectors, by recipient	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD	99.009867	50.348818	54.893822	63.863721	60.379241	63.499829	58.5970862	2015	63.499829		
