series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD															10.13	7.16	8.645	2015	7.16		
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD	1511.95	784.31	306.45	2340.67	1593.81	4143.98	8060.33	9193.35	2857.55	2682.79	13063.83	16474.49	19607.25	22470.55	31090.36	13098.97	20548.324	2015	13098.97		
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD	905.81	588.46	1696.75	1096.84	937.92	4355.79	2929.2	19798.43	10214.4	2498.64	5608.55	7271.52	3964.32	238.9	2685.8	3987.78	3629.664	2015	3987.78		
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CON_USD	1868.78	-202.17	902.63	670.14	74.37	2237.75	4436.74	2762.21	3054.83	1822.31	6540.2	-402.13	1820.87	8560.8	7133.12	2454.26	3913.384	2015	2454.26		
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD											0.23	6.83	0.16	0.35	0.99	1.4	1.946	2015	1.4		
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD	5786.24	1089.34	1264.5	3700.25	4738.76	11476.45	11983.59	14878.51	21150.21	5142.77	19400.94	10155.88	13399.98	7038.99	15105.91	-75.32	9125.088	2015	-75.32		
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CON_USD																					
