series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CU_USD	156.98	391.65	1309.59	1609.61	2346.36	2881.22	3006.78	4972.53	4936.58	6306.54	6521.59	6944.31	6685.36	5239.08	4953.21	4361.12	5636.616	2015	4361.12		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CU_USD	231.12	343.81	320.37	380.18	526.36	477.79	506.12	674.99	866.36	836.24	967.45	939.72	718.27	146.2	489.16	657.18	590.106	2015	657.18		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CU_USD	-401.31	67.19	-412.75	2345.62	-1360.84	-1390.35	-3694.38	2121.75	334.14	3016.78	1300.66	1634.87	-2543.58	1107.86	1302.84	2811.42	862.682	2015	2811.42		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CU_USD	117.51	848.4	-344.44	443.05	1084.91	1667.99	777.04	-287.03	3550.23	4190.06	1632.64	3177.54	257.87	5642.42	5313.39	-1652.91	2547.662	2015	-1652.91		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CU_USD	429.05	-102.08	-158.16	-123.91	66.23	-121.58	-36.75	45.47	-74.48	-159.48	50.04	-9.43	-0.46	22.38	66.69	89.64	33.764	2015	89.64		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CU_USD	673.48	489.13	687.74	1515.33	1821.01	1519.35	1800.42	2628.61	2293.49	1007.78	1149.37	1638.84	1024.42	1188.73	714.52	1304.17	1174.136	2015	1304.17		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CU_USD	7959.18	224.58	-5725.36	-3847	-1729.46	-4982.93	4125.74	6134.15	4811.12	2100.67	-2776.91	4188.33	1574.4	3020.52	2819.7	8721.26	4064.842	2015	8721.26		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CU_USD	5709.79	115.57	1208.84	1116.18	2296.26													2004	2296.26		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CU_USD	1490.87	2654.72	159.44	305.32	829.32													2004	829.32		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CU_USD	1236.7	999.43	882.3	1275.12	1535.42	1693.58	1331.27	1724.64	2839.34	2087.52	1437.16	2011.66	3138.57	2716.63	2918.35	3087.85	2774.612	2015	3087.85		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CU_USD	211.39	209.56	303.14	252.23	252.33	215.7	364.23	563.13	483.08	659.89	561.43	528.47	312.97	599.99	371.12	515.47	465.604	2015	515.47		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CU_USD	276.19	31.41	1089.57	250.18	478.43	445.93	2254.67	943.79	1729.03	610.33	2311.04		-0.36				-0.36	2012	-0.36		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CU_USD	11526.84	16423.42	2606.61	6766.82	26157.71													2004	26157.71		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CU_USD	43.99	59.86	96.04	57.58	78.07	95.89	94.55	89.63	89.24	189.51	173.72	148.82	272.63	-31.59	133.14	110.19	126.638	2015	110.19		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CU_USD	642.19	881.45	339.16	977.18	595.57	662.46	882.37	596.58	688.68	755.37	763.49	728.2	654.89	876.21	707.19	1695.81	932.46	2015	1695.81		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CU_USD	946.25	713.85	709.46	644.87	956.03	731.17	1195.74	1280.08	1294.88	579.89	933.85	668.26	1091	985.56	548.34	938.17	846.266	2015	938.17		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CU_USD	83.32	45.48	57.93	-20.54	42.08	81.8	93.68	125.4	642.61	1340.89	231.13	788.31	155.41	42.7	70.86	-73.58	196.74	2015	-73.58		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CU_USD	21148.23	14441.56	2500.72	-1043.87	250.56	21583.87	30074.26	47607.08	1894.33	19397.16	39820.51	37326.11	35526.7	35594.53	66706.65	42765.6	43583.918	2015	42765.6		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CU_USD	79.18	94.6	39.7	12.02	55.58	23.46	-91.96	210.17	-123.93	-13.82	21.94	22.44	-14.73	37.3	61.65	26.61	26.654	2015	26.61		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CU_USD																					
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CU_USD	54.95	54.33	25.13	61.51	125	170.2	216.47	255.78	262.59	213.71	403.13	355.63	-157.69	330.82	246.69	201.67	195.424	2015	201.67		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CU_USD	1928.63	517.67	386.81	329.28	2370.68													2004	2370.68		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CU_USD	-92.63	21.97	-123.71	-125.52	-109.29													2004	-109.29		
2017.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CU_USD	662.83	409.06	1311.36	1147.77	1480.12													2004	1480.12		
