series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT																0.64848178693	0.59783794487	0.3626465884	0.27985870196	0.15746948064	0.07242335986	0.0628833562	0.17169649255	0.58469917672	2.44717382975	1.61069915367	0.975430401778	2015	1.61069915367		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT		4.29879518072	2.17545748116	3.17630853994	6.63629764065	1.97471386745	4.36399474376	7.78913242653	4.90253257671	3.26480393713	4.08875298329	4.10442305349	6.47311300509	5.01402144947	4.74520294217	4.44394167368	4.38172914683	3.65877878763	3.15232363829	4.83644229058	6.83582555772	7.5608414416	7.91883257095	5.41647730941	6.73695876801	18.59159114587	9.244940247168	2015	18.59159114587		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	63.75630809086	70.91104285166														11.37538991008	22.11210294536	1.12947626788	1.18790564182	0.88362052327	0.60488586305	0.58705627327	0.85268534155	0.42090467075	0.35240448422	0.47247396493	0.537104946944	2015	0.47247396493		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	7.06495128654	9.22882055232	4.79206163527	2.93445121951	6.41952324046	10.77020736352	17.52175684827	18.34609305307	40.19836882328	26.20993128533	20.61686669034	32.79306013944	16.73922661765	15.24615395699	13.56802777901	10.52080581008	12.97350583824	9.64433662729	2.43798680468	8.47578828322	4.4449239104	4.17628811451	5.83401792189	6.98865861949	10.42764260372	15.58058300909	8.60143805374	2015	15.58058300909		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT						1.23742658561	1.14594278826	6.59966082128	2.0318366895	4.66922699762	5.54871976504	5.00847843341	4.55588844226	5.36255098406	3.26978300127	1.5777338173	1.03067707188	0.80481008876	0.77947663962	1.23937123957	1.14786032057	0.91705566298	0.93259665973	2.05713098045	1.77447290547	2.97198228716	1.730647699158	2015	2.97198228716		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	34.88740242584	31.02079717332	24.25433995323	26.68571575396	18.50405247239	20.47940417338	23.3973268459	27.6318243338	28.13750604953	37.46918558328	40.28762578416	31.80568203267	15.59648989972	34.95635672104	19.90058194922	14.2054432445	23.12189488172	6.90763744045	6.70890891652	10.90229269649	10.37112199474	7.71188643818	5.97009166844	7.67478983447	11.58115841886	15.71959543515	9.73150435902	2015	15.71959543515		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	33.72701028825	26.66920971581	19.37300541109	16.04205273552	14.34906993461	15.78407933548	13.59726157068	11.86017994004	10.27678435625	10.69690322302	10.29942419155	9.41053083246	10.00806333462	8.09224763327	6.82855776032	6.86314175063	5.01329330843	6.37780670917	4.80377174428	5.42514713247	4.55610389574	5.34194727469	5.17783838434	5.20233653238	4.90958204607	3.57318411296	4.840977670088	2015	3.57318411296		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT				1.12469014815	1.93869531045	3.18414141699	9.55579461664	4.97090730834	12.86457658591	12.73091526988	8.67233170217	8.18842017621	7.9363938258	8.25193616359	6.49823863268	3.3080658939	2.75536594029	1.90347747627	1.78043934753	2.93811142461	2.74200993558	2.67096091805	5.92566704623	19.52015893291	5.84869353981	9.62499485287	8.718095057974	2015	9.62499485287		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																															
