geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ANNUAL	PERCENT	66.02688198	33.83160199	2	AFG	Afghanistan	2011-2015	0.975430401778
8	1	ANNUAL	PERCENT	20.06660928	41.13897007	6	ALB	Albania	2011-2015	9.244940247168
10	1	ANNUAL	PERCENT	21.47585697	-80.40897662	13	ATA	Antarctica	2011-2015	
12	1	ANNUAL	PERCENT	2.678164227	28.15940032	66	DZA	Algeria	2011-2015	0.537104946944
16	1	ANNUAL	PERCENT	-170.7187269	-14.30587306	12	ASM	American Samoa	2011-2015	
20	1	ANNUAL	PERCENT	1.576257417	42.54548611	7	AND	Andorra	2011-2015	
24	1	ANNUAL	PERCENT	17.57817062	-12.33724746	3	AGO	Angola	2011-2015	8.60143805374
28	1	ANNUAL	PERCENT	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2011-2015	
31	1	ANNUAL	PERCENT	50.01064725	40.39229544	19	AZE	Azerbaijan	2011-2015	1.730647699158
32	1	ANNUAL	PERCENT	-65.14563274	-35.19446255	10	ARG	Argentina	2011-2015	9.73150435902
36	1	ANNUAL	PERCENT	134.3499412	-25.57717202	17	AUS	Australia	2011-2015	
40	1	ANNUAL	PERCENT	14.14172472	47.58704857	18	AUT	Austria	2011-2015	
44	1	ANNUAL	PERCENT	-78.05111663	24.69546597	27	BHS	Bahamas	2011-2015	
48	1	ANNUAL	PERCENT	50.5490754	26.04407747	26	BHR	Bahrain	2011-2015	
50	1	ANNUAL	PERCENT	89.17660788	22.86961622	24	BGD	Bangladesh	2011-2015	4.840977670088
51	1	ANNUAL	PERCENT	44.93839317	40.29499741	11	ARM	Armenia	2011-2015	8.718095057974
52	1	ANNUAL	PERCENT	-59.5346489	13.13648273	35	BRB	Barbados	2011-2015	
56	1	ANNUAL	PERCENT	4.660976456	50.64104975	21	BEL	Belgium	2011-2015	
60	1	ANNUAL	PERCENT	-64.78155012	32.27881922	32	BMU	Bermuda	2011-2015	
64	1	ANNUAL	PERCENT	90.45098484	27.39598568	37	BTN	Bhutan	2011-2015	13.69269620902
68	1	ANNUAL	PERCENT	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2011-2015	3.322314616244
70	1	ANNUAL	PERCENT	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2011-2015	6.062211099996
72	1	ANNUAL	PERCENT	23.81380223	-22.18810073	39	BWA	Botswana	2011-2015	1.182985870194
74	1	ANNUAL	PERCENT	3.410732868	-54.43295905	38	BVT	Bouvet Island	2011-2015	
76	1	ANNUAL	PERCENT	-53.08432878	-10.77668561	34	BRA	Brazil	2011-2015	7.08235366641
84	1	ANNUAL	PERCENT	-88.70199554	17.19965901	31	BLZ	Belize	2011-2015	8.731894515162
86	1	ANNUAL	PERCENT	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2011-2015	
90	1	ANNUAL	PERCENT	160.1584117	-9.622391719	204	SLB	Solomon Islands	2011-2015	1.428271837484
92	1	ANNUAL	PERCENT	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2011-2015	
96	1	ANNUAL	PERCENT	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2011-2015	
100	1	ANNUAL	PERCENT	25.23763153	42.75731323	25	BGR	Bulgaria	2011-2015	2.606573088312
104	1	ANNUAL	PERCENT	96.51752295	21.19332882	149	MMR	Myanmar	2011-2015	2.221758408478
108	1	ANNUAL	PERCENT	29.89080992	-3.366387428	20	BDI	Burundi	2011-2015	9.664813761638
112	1	ANNUAL	PERCENT	28.04940161	53.54193075	30	BLR	Belarus	2011-2015	7.829934116886
116	1	ANNUAL	PERCENT	104.922836	12.71163737	121	KHM	Cambodia	2011-2015	1.077564748212
