geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2015	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan	1.61069915367	Float			
8	2015	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania	18.59159114587	Float			
10	2015	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2015	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria	0.47247396493	Float			
16	2015	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2015	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
24	2015	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola	15.58058300909	Float			
28	2015	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2015	ANNUAL	PERCENT	1	50.01064725	40.39229544	19	AZE	Azerbaijan	2.97198228716	Float			
32	2015	ANNUAL	PERCENT	1	-65.14563274	-35.19446255	10	ARG	Argentina	15.71959543515	Float			
36	2015	ANNUAL	PERCENT	1	134.3499412	-25.57717202	17	AUS	Australia					
40	2015	ANNUAL	PERCENT	1	14.14172472	47.58704857	18	AUT	Austria					
44	2015	ANNUAL	PERCENT	1	-78.05111663	24.69546597	27	BHS	Bahamas					
48	2015	ANNUAL	PERCENT	1	50.5490754	26.04407747	26	BHR	Bahrain					
50	2015	ANNUAL	PERCENT	1	89.17660788	22.86961622	24	BGD	Bangladesh	3.57318411296	Float			
51	2015	ANNUAL	PERCENT	1	44.93839317	40.29499741	11	ARM	Armenia	9.62499485287	Float			
52	2015	ANNUAL	PERCENT	1	-59.5346489	13.13648273	35	BRB	Barbados					
56	2015	ANNUAL	PERCENT	1	4.660976456	50.64104975	21	BEL	Belgium					
60	2015	ANNUAL	PERCENT	1	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2015	ANNUAL	PERCENT	1	90.45098484	27.39598568	37	BTN	Bhutan	17.52911625070	Float			
68	2015	ANNUAL	PERCENT	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	4.99119436090	Float			
70	2015	ANNUAL	PERCENT	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	7.47579384519	Float			
72	2015	ANNUAL	PERCENT	1	23.81380223	-22.18810073	39	BWA	Botswana	1.88834456387	Float			
74	2015	ANNUAL	PERCENT	1	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2015	ANNUAL	PERCENT	1	-53.08432878	-10.77668561	34	BRA	Brazil	12.11465633277	Float			
84	2015	ANNUAL	PERCENT	1	-88.70199554	17.19965901	31	BLZ	Belize	7.38299170813	Float			
86	2015	ANNUAL	PERCENT	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2015	ANNUAL	PERCENT	1	160.1584117	-9.622391719	204	SLB	Solomon Islands	1.62214122274	Float			
92	2015	ANNUAL	PERCENT	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2015	ANNUAL	PERCENT	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam					
100	2015	ANNUAL	PERCENT	1	25.23763153	42.75731323	25	BGR	Bulgaria	4.32198343903	Float			
104	2015	ANNUAL	PERCENT	1	96.51752295	21.19332882	149	MMR	Myanmar	0.40260283703	Float			
108	2015	ANNUAL	PERCENT	1	29.89080992	-3.366387428	20	BDI	Burundi	13.31245590425	Float			
112	2015	ANNUAL	PERCENT	1	28.04940161	53.54193075	30	BLR	Belarus	11.09741118726	Float			
116	2015	ANNUAL	PERCENT	1	104.922836	12.71163737	121	KHM	Cambodia	1.09218940088	Float			
120	2015	ANNUAL	PERCENT	1	12.7419827	5.692387031	47	CMR	Cameroon	3.04125730005	Float			
124	2015	ANNUAL	PERCENT	1	-101.6575058	57.72360191	41	CAN	Canada					
132	2015	ANNUAL	PERCENT	1	-23.63544151	15.07791834	53	CPV	Cabo Verde	6.16549185313	Float			
136	2015	ANNUAL	PERCENT	1	-81.16740559	19.32266656	58	CYM	Cayman Islands					
140	2015	ANNUAL	PERCENT	1	20.93559492	7.003720791	40	CAF	Central African Republic	9.21285750443	Float			
144	2015	ANNUAL	PERCENT	1	80.70489654	7.614693343	132	LKA	Sri Lanka	16.96843687758	Float			
148	2015	ANNUAL	PERCENT	1	18.66618401	15.36279341	222	TCD	Chad	7.32286250709	Float			
152	2015	ANNUAL	PERCENT	1	-71.23029019	-35.2652885	44	CHL	Chile					
156	2015	ANNUAL	PERCENT	1	104.1403375	32.30955217	45	CHN	China	1.55490336668	Float			
162	2015	ANNUAL	PERCENT	1	105.6426067	-10.4882473	57	CXR	Christmas Island					
166	2015	ANNUAL	PERCENT	1	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
170	2015	ANNUAL	PERCENT	1	-73.07446751	3.888209046	51	COL	Colombia	9.25981076961	Float			
174	2015	ANNUAL	PERCENT	1	43.34234565	-11.66121732	52	COM	Comoros	3.29564717625	Float			
175	2015	ANNUAL	PERCENT	1	45.14015057	-12.82217691	160	MYT	Mayotte					
178	2015	ANNUAL	PERCENT	1	15.22052612	-0.840544119	49	COG	Congo	4.66371786879	Float			
180	2015	ANNUAL	PERCENT	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	3.70742202562	Float			
184	2015	ANNUAL	PERCENT	1	-159.7711391	-21.22696458	50	COK	Cook Islands					
188	2015	ANNUAL	PERCENT	1	-84.19712782	9.970998683	54	CRI	Costa Rica	6.46668371464	Float			
191	2015	ANNUAL	PERCENT	1	17.95874553	45.45172212	101	HRV	Croatia					
192	2015	ANNUAL	PERCENT	1	-79.54460144	22.10030366	55	CUB	Cuba					
196	2015	ANNUAL	PERCENT	1	33.22285964	35.05659437	59	CYP	Cyprus					
203	2015	ANNUAL	PERCENT	1	15.33151382	49.73913871	60	CZE	Czechia					
204	2015	ANNUAL	PERCENT	1	2.339933594	9.65401646	22	BEN	Benin	6.52856744975	Float			
208	2015	ANNUAL	PERCENT	1	9.326571283	56.03829721	64	DNK	Denmark					
212	2015	ANNUAL	PERCENT	1	-61.3493756	15.43391378	63	DMA	Dominica	10.71767290769	Float			
214	2015	ANNUAL	PERCENT	1	-70.49847576	18.89832088	65	DOM	Dominican Republic	22.33219127152	Float			
218	2015	ANNUAL	PERCENT	1	-78.37005241	-1.447785891	67	ECU	Ecuador	15.52325573650	Float			
222	2015	ANNUAL	PERCENT	1	-88.86862995	13.73603564	206	SLV	El Salvador	11.88018000215	Float			
226	2015	ANNUAL	PERCENT	1	10.46535826	1.565792376	90	GNQ	Equatorial Guinea					
231	2015	ANNUAL	PERCENT	1	39.63505296	8.631223181	73	ETH	Ethiopia	17.42374548558	Float			
232	2015	ANNUAL	PERCENT	1	38.11074289	16.12894644	69	ERI	Eritrea					
233	2015	ANNUAL	PERCENT	1	25.84093481	58.68487172	72	EST	Estonia					
234	2015	ANNUAL	PERCENT	1	-7.122044325	62.21228119	78	FRO	Faroe Islands					
238	2015	ANNUAL	PERCENT	1	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)					
239	2015	ANNUAL	PERCENT	1	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands					
242	2015	ANNUAL	PERCENT	1	177.9660884	-17.83301566	75	FJI	Fiji	2.10031947452	Float			
246	2015	ANNUAL	PERCENT	1	23.308447	61.91586738	74	FIN	Finland					
248	2015	ANNUAL	PERCENT	1	19.80945969	60.1544901	5	ALA	Åland Islands					
250	2015	ANNUAL	PERCENT	1	2.457288129	46.62660861	77	FRA	France					
254	2015	ANNUAL	PERCENT	1	-53.23619089	3.922673437	95	GUF	French Guiana					
258	2015	ANNUAL	PERCENT	1	-149.4052367	-17.67709294	191	PYF	French Polynesia					
260	2015	ANNUAL	PERCENT	1	69.64849091	-49.6068576	14	ATF	French Southern Territories					
262	2015	ANNUAL	PERCENT	1	42.18274707	11.56004161	62	DJI	Djibouti	7.15748087198	Float			
266	2015	ANNUAL	PERCENT	1	11.78727747	-0.60687619	80	GAB	Gabon					
268	2015	ANNUAL	PERCENT	1	43.3713615	42.04813028	82	GEO	Georgia	8.15395768466	Float			
270	2015	ANNUAL	PERCENT	1	-15.39944785	13.45295927	88	GMB	Gambia	13.52855237809	Float			
275	2015	ANNUAL	PERCENT	1	35.25694122	31.94347933	189	PSE	State of Palestine					
276	2015	ANNUAL	PERCENT	1	10.3806066	51.08862743	61	DEU	Germany					
288	2015	ANNUAL	PERCENT	1	-1.205623522	7.964825185	84	GHA	Ghana	11.54387536430	Float			
292	2015	ANNUAL	PERCENT	1	-5.347561686	36.13895036	85	GIB	Gibraltar					
296	2015	ANNUAL	PERCENT	1	-157.5643005	1.768837732	122	KIR	Kiribati					
300	2015	ANNUAL	PERCENT	1	22.58307827	39.47301873	91	GRC	Greece					
304	2015	ANNUAL	PERCENT	1	-41.39371316	74.75625681	93	GRL	Greenland					
