geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	66.02688198	33.83160199	2	AFG	Afghanistan	17.305714	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
8	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	20.06660928	41.13897007	6	ALB	Albania	67.078662	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
10	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	2.678164227	28.15940032	66	DZA	Algeria		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
16	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	1.576257417	42.54548611	7	AND	Andorra		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
24	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	17.57817062	-12.33724746	3	AGO	Angola	47.64815	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
28	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
31	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	50.01064725	40.39229544	19	AZE	Azerbaijan		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
32	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-65.14563274	-35.19446255	10	ARG	Argentina		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
36	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	134.3499412	-25.57717202	17	AUS	Australia		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
40	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	14.14172472	47.58704857	18	AUT	Austria		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
44	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-78.05111663	24.69546597	27	BHS	Bahamas		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
48	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	50.5490754	26.04407747	26	BHR	Bahrain		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
50	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	89.17660788	22.86961622	24	BGD	Bangladesh	10.111731	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
51	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	44.93839317	40.29499741	11	ARM	Armenia		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
52	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-59.5346489	13.13648273	35	BRB	Barbados		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
56	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	4.660976456	50.64104975	21	BEL	Belgium		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
60	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	90.45098484	27.39598568	37	BTN	Bhutan	68.040517	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
68	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	79.25185	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
70	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	39.759344	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
72	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	23.81380223	-22.18810073	39	BWA	Botswana	62.517831	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
74	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-53.08432878	-10.77668561	34	BRA	Brazil	93.141083	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
84	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-88.70199554	17.19965901	31	BLZ	Belize	87.204053	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
86	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	160.1584117	-9.622391719	204	SLB	Solomon Islands	8.896834	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
92	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	114.6288563	4.49736984	36	BRN	Brunei Darussalam		String		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
100	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	25.23763153	42.75731323	25	BGR	Bulgaria	79.137224	Float		Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
