series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	17.305714	2014	17.305714	Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	67.078662	2014	67.078662	Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	47.64815	2014	47.64815	Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	10.111731	2014	10.111731	Sources and methods as reported here: http://www.who.int/indoorair/publications/burning-opportunities/en/	E
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT					
2017.Q2.G.01	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT					
