series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	ALLAREA	PERCENT	0.163713	1.006099	3.467205	7.209179	13.969172	23	27.506411	34.290512	42.4	47.888466	42.7	61.51442	69.1	75.154373	89.5	67.5937586	2014	89.5		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	RURAL	PERCENT		0.047561	0.389324	1.76783	2.413901	13	17.332747	24.826653	32.5	39.87785	32.4	54.988701	63.8	70.129379	87.8	61.823616	2014	87.8		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	URBAN	PERCENT						74	61.114919	64.949856	89.9	72.825721	82.8	81.014537	95	89.552647	98.7	89.4134368	2014	98.7		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	ALLAREA	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	RURAL	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	URBAN	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	ALLAREA	PERCENT	96.702133	97.004044	97.298698	97.590019	97.881889	98.184265	98.490738	98.806519	99.3	99.443893	99.711174	99.889542	99.973083	99.996918	100	99.9141434	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	RURAL	PERCENT	95.357872	95.592133	95.822166	96.054024	96.293785	96.547516	96.821274	97.119499	97.910635	97.779343	98.133492	98.498833	98.871628	99.248154	99.625305	98.8754824	2014	99.625305		M
