series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	54.24	54.06	43.57	41.74	49.19	40.86	37.14	33.86	21.34	17.81	14.84	10.79	13.97	14.28	16.75	14.126	2014	16.75		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	41.45	39.13	35.9	33.75	35.94	36.87	31.71	32.1	35.91	37.22	37.12	35.96	40.05	41.29	38.69	38.622	2014	38.69		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	0.43	0.43	0.51	0.47	0.44	0.58	0.41	0.41	0.3	0.31	0.26	0.18	0.19	0.14	0.07	0.168	2014	0.07		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.7	0.7	0.42	2014	0.7		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT	14.89	15.77	16.22	16.91	16.87	16.9	17.49	16.94	17.42	17.52	19.09	18.97	19.2	19.56	19.89	19.342	2014	19.89		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	74.62	73.76	72.13	67.31	65.49	70.95	65.02	61.6	58.11	55.75	54.19	52.72	52.25	50.69	50.8	52.13	2014	50.8		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014	0		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	2.07	1.75	2.35	2.94	3.07	3.37	2.86	3.79	3.09	3.27	4.45	3.56	2.85	2.53	2.12	3.102	2014	2.12		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	11.08	13.04	13.29	12.52	8.35	8.96	10.19	8.89	7.61	8.57	8.96	10.12	9.87	10.22	10.77	9.988	2014	10.77		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	8.42	8.37	8.74	7.14	6.67	6.71	6.86	6.95	6.8	6.77	8.55	8.47	8.44	9.32	9.5	8.856	2014	9.5		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	26.39	25.48	24.68	22.58	23.22	24.06	26.35	28.82	29.5	30.77	30.95	31.27	33.7	34.69	35.78	33.278	2014	35.78		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT	0	0.45	0.42	1.69	1.7	1.84	2.17	3.71	2.15	1.92	1.78	1.54	1.23	0.84	1.1	1.298	2014	1.1		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014	0		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	59.01	55.79	54.32	52.64	52.12	50.78	48.9	47.48	45.6	43.71	41.07	39.46	38.63	38.82	37.49	39.094	2014	37.49		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	7.16	5.42	8.9	9.81	8.71	6.49	7.65	7.02	6.41	7.8	9.36	8.01	6.57	6.77	7.72	7.686	2014	7.72		
