series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	KG_PER_CON_USD																				
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	KG_PER_CON_USD	1.74	1.89	1.6	1.37	1.21	0.83	1.11	0.85	0.72	1.14	1.41	1.24	0.76	0.74	1.15	1.06	2014	1.15	UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	KG_PER_CON_USD																				
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	KG_PER_CON_USD	0.77	0.77	0.78	0.87	0.96	0.88	0.89	0.99	0.93	1.06	1.04	1.05	0.99	0.84	0.68	0.92	2014	0.68	UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	KG_PER_CON_USD																				
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	KG_PER_CON_USD																				
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	KG_PER_CON_USD	0.97	0.9	0.93	0.91	0.91	0.71	0.72	0.81	0.67	0.64	0.57	0.53	0.44	0.23	0.19	0.392	2014	0.19	UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	KG_PER_CON_USD																				
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	KG_PER_CON_USD	1.95	1.51	1.81	1.03	0.77	0.5	0.44	0.81	0.87	0.64	0.48	0.53	0.65	0.65	0.67	0.596	2014	0.67	UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	KG_PER_CON_USD	0.58	0.64	0.68	0.64	0.65	0.57	0.56	0.52	0.5	0.47	0.43	0.38	0.37	0.37	0.41	0.392	2014	0.41	UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
2017.Q2.G.01	EN_ATM_CO2MVA	Emissions of carbon dioxide per unit of Manufacturing Value Added	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	KG_PER_CON_USD	0.45	0.43	0.33	0.4	0.42	0.41	0.39	0.38	0.41	0.37	0.34	0.34	0.35	0.36	0.33	0.344	2014	0.33	UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
