geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2014	ANNUAL	KG_PER_CON_USD	1	66.02688198	33.83160199	2	AFG	Afghanistan					
8	2014	ANNUAL	KG_PER_CON_USD	1	20.06660928	41.13897007	6	ALB	Albania	1.15	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
10	2014	ANNUAL	KG_PER_CON_USD	1	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2014	ANNUAL	KG_PER_CON_USD	1	2.678164227	28.15940032	66	DZA	Algeria	0.68	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
16	2014	ANNUAL	KG_PER_CON_USD	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2014	ANNUAL	KG_PER_CON_USD	1	1.576257417	42.54548611	7	AND	Andorra					
24	2014	ANNUAL	KG_PER_CON_USD	1	17.57817062	-12.33724746	3	AGO	Angola	0.19	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
28	2014	ANNUAL	KG_PER_CON_USD	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2014	ANNUAL	KG_PER_CON_USD	1	50.01064725	40.39229544	19	AZE	Azerbaijan	0.67	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
32	2014	ANNUAL	KG_PER_CON_USD	1	-65.14563274	-35.19446255	10	ARG	Argentina	0.41	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
36	2014	ANNUAL	KG_PER_CON_USD	1	134.3499412	-25.57717202	17	AUS	Australia	0.33	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
40	2014	ANNUAL	KG_PER_CON_USD	1	14.14172472	47.58704857	18	AUT	Austria	0.13	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
44	2014	ANNUAL	KG_PER_CON_USD	1	-78.05111663	24.69546597	27	BHS	Bahamas					
48	2014	ANNUAL	KG_PER_CON_USD	1	50.5490754	26.04407747	26	BHR	Bahrain	0.5	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
50	2014	ANNUAL	KG_PER_CON_USD	1	89.17660788	22.86961622	24	BGD	Bangladesh	0.38	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
51	2014	ANNUAL	KG_PER_CON_USD	1	44.93839317	40.29499741	11	ARM	Armenia	0.38	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
52	2014	ANNUAL	KG_PER_CON_USD	1	-59.5346489	13.13648273	35	BRB	Barbados					
56	2014	ANNUAL	KG_PER_CON_USD	1	4.660976456	50.64104975	21	BEL	Belgium	0.27	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
60	2014	ANNUAL	KG_PER_CON_USD	1	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2014	ANNUAL	KG_PER_CON_USD	1	90.45098484	27.39598568	37	BTN	Bhutan					
68	2014	ANNUAL	KG_PER_CON_USD	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	0.8	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
70	2014	ANNUAL	KG_PER_CON_USD	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	1.04	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
72	2014	ANNUAL	KG_PER_CON_USD	1	23.81380223	-22.18810073	39	BWA	Botswana	0.08	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
74	2014	ANNUAL	KG_PER_CON_USD	1	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2014	ANNUAL	KG_PER_CON_USD	1	-53.08432878	-10.77668561	34	BRA	Brazil	0.32	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
84	2014	ANNUAL	KG_PER_CON_USD	1	-88.70199554	17.19965901	31	BLZ	Belize					
86	2014	ANNUAL	KG_PER_CON_USD	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2014	ANNUAL	KG_PER_CON_USD	1	160.1584117	-9.622391719	204	SLB	Solomon Islands					
92	2014	ANNUAL	KG_PER_CON_USD	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2014	ANNUAL	KG_PER_CON_USD	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	0.17	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
100	2014	ANNUAL	KG_PER_CON_USD	1	25.23763153	42.75731323	25	BGR	Bulgaria	0.48	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
104	2014	ANNUAL	KG_PER_CON_USD	1	96.51752295	21.19332882	149	MMR	Myanmar	0.29	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
108	2014	ANNUAL	KG_PER_CON_USD	1	29.89080992	-3.366387428	20	BDI	Burundi					
112	2014	ANNUAL	KG_PER_CON_USD	1	28.04940161	53.54193075	30	BLR	Belarus	0.33	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
116	2014	ANNUAL	KG_PER_CON_USD	1	104.922836	12.71163737	121	KHM	Cambodia	0.07	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
120	2014	ANNUAL	KG_PER_CON_USD	1	12.7419827	5.692387031	47	CMR	Cameroon	0.1	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
124	2014	ANNUAL	KG_PER_CON_USD	1	-101.6575058	57.72360191	41	CAN	Canada	0.31	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
132	2014	ANNUAL	KG_PER_CON_USD	1	-23.63544151	15.07791834	53	CPV	Cabo Verde					
136	2014	ANNUAL	KG_PER_CON_USD	1	-81.16740559	19.32266656	58	CYM	Cayman Islands					
140	2014	ANNUAL	KG_PER_CON_USD	1	20.93559492	7.003720791	40	CAF	Central African Republic					
144	2014	ANNUAL	KG_PER_CON_USD	1	80.70489654	7.614693343	132	LKA	Sri Lanka	0.08	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
148	2014	ANNUAL	KG_PER_CON_USD	1	18.66618401	15.36279341	222	TCD	Chad					
152	2014	ANNUAL	KG_PER_CON_USD	1	-71.23029019	-35.2652885	44	CHL	Chile	0.3	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
156	2014	ANNUAL	KG_PER_CON_USD	1	104.1403375	32.30955217	45	CHN	China	1.06	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
162	2014	ANNUAL	KG_PER_CON_USD	1	105.6426067	-10.4882473	57	CXR	Christmas Island					
166	2014	ANNUAL	KG_PER_CON_USD	1	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
170	2014	ANNUAL	KG_PER_CON_USD	1	-73.07446751	3.888209046	51	COL	Colombia	0.34	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
174	2014	ANNUAL	KG_PER_CON_USD	1	43.34234565	-11.66121732	52	COM	Comoros					
175	2014	ANNUAL	KG_PER_CON_USD	1	45.14015057	-12.82217691	160	MYT	Mayotte					
178	2014	ANNUAL	KG_PER_CON_USD	1	15.22052612	-0.840544119	49	COG	Congo	0.11	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
180	2014	ANNUAL	KG_PER_CON_USD	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	0.03	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
184	2014	ANNUAL	KG_PER_CON_USD	1	-159.7711391	-21.22696458	50	COK	Cook Islands					
188	2014	ANNUAL	KG_PER_CON_USD	1	-84.19712782	9.970998683	54	CRI	Costa Rica	0.15	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
191	2014	ANNUAL	KG_PER_CON_USD	1	17.95874553	45.45172212	101	HRV	Croatia	0.28	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
192	2014	ANNUAL	KG_PER_CON_USD	1	-79.54460144	22.10030366	55	CUB	Cuba	1.35	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
196	2014	ANNUAL	KG_PER_CON_USD	1	33.22285964	35.05659437	59	CYP	Cyprus	0.66	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
203	2014	ANNUAL	KG_PER_CON_USD	1	15.33151382	49.73913871	60	CZE	Czechia	0.27	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
204	2014	ANNUAL	KG_PER_CON_USD	1	2.339933594	9.65401646	22	BEN	Benin	0.32	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
208	2014	ANNUAL	KG_PER_CON_USD	1	9.326571283	56.03829721	64	DNK	Denmark	0.08	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
212	2014	ANNUAL	KG_PER_CON_USD	1	-61.3493756	15.43391378	63	DMA	Dominica					
214	2014	ANNUAL	KG_PER_CON_USD	1	-70.49847576	18.89832088	65	DOM	Dominican Republic	0.23	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
218	2014	ANNUAL	KG_PER_CON_USD	1	-78.37005241	-1.447785891	67	ECU	Ecuador	0.47	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
222	2014	ANNUAL	KG_PER_CON_USD	1	-88.86862995	13.73603564	206	SLV	El Salvador	0.16	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
226	2014	ANNUAL	KG_PER_CON_USD	1	10.46535826	1.565792376	90	GNQ	Equatorial Guinea					
231	2014	ANNUAL	KG_PER_CON_USD	1	39.63505296	8.631223181	73	ETH	Ethiopia	1.77	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
232	2014	ANNUAL	KG_PER_CON_USD	1	38.11074289	16.12894644	69	ERI	Eritrea	0.13	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
233	2014	ANNUAL	KG_PER_CON_USD	1	25.84093481	58.68487172	72	EST	Estonia	0.22	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
234	2014	ANNUAL	KG_PER_CON_USD	1	-7.122044325	62.21228119	78	FRO	Faroe Islands					
238	2014	ANNUAL	KG_PER_CON_USD	1	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)					
239	2014	ANNUAL	KG_PER_CON_USD	1	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands					
242	2014	ANNUAL	KG_PER_CON_USD	1	177.9660884	-17.83301566	75	FJI	Fiji					
246	2014	ANNUAL	KG_PER_CON_USD	1	23.308447	61.91586738	74	FIN	Finland	0.17	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
248	2014	ANNUAL	KG_PER_CON_USD	1	19.80945969	60.1544901	5	ALA	Åland Islands					
250	2014	ANNUAL	KG_PER_CON_USD	1	2.457288129	46.62660861	77	FRA	France	0.15	Float		UNIDO MVA 2017 Database. Available at https://stat.unido.org. IEA CO2 Emissions from Fuel Combustion Statistics 2016.	M
254	2014	ANNUAL	KG_PER_CON_USD	1	-53.23619089	3.922673437	95	GUF	French Guiana					
