series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	3.08	3.22	3.75	3.82	4.01	3.82	3.79	3.78	3.71	3.77	3.93	4.14	3.48	3.64	4.12	3.862	2014	4.12	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	61.49	63	68.13	71.96	73.35	77.45	80.73	84.85	88.1	94.41	95.77	102.11	110.67	113.88	122.93	109.072	2014	122.93	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	4.63	5.03	5.5	7.06	7.4	6.15	8.25	9.64	11.81	13.87	15.13	16.08	15.97	18.08	19.3	16.912	2014	19.3	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS	27.3	25.83	25.51	27.82	27.4	29.01	29.39	26.69	28.8	24.52	23.53	26.44	28.89	29.45	30.79	27.82	2014	30.79	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	139.32	128.82	121.61	130.81	146.53	149.43	158.71	165.57	176.65	168.87	173.72	181.18	185.59	180.79	192.41	182.738	2014	192.41	IEA/OECD CO2 emissions from fuel combustion, 2016	C
