geoAreaCode	years	Freq	Location	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2012	ANNUAL	ALLAREA	mgr/m^3	1	66.02688198	33.83160199	2	AFG	Afghanistan	46.04515026323421	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
4	2012	ANNUAL	URBAN	mgr/m^3	2	66.02688198	33.83160199	2	AFG	Afghanistan	63.40571411222226	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
8	2012	ANNUAL	ALLAREA	mgr/m^3	1	20.06660928	41.13897007	6	ALB	Albania	15.92708946038843	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
8	2012	ANNUAL	URBAN	mgr/m^3	2	20.06660928	41.13897007	6	ALB	Albania	17.07636292780750	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
10	2012	ANNUAL	ALLAREA	mgr/m^3	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2012	ANNUAL	URBAN	mgr/m^3	2	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2012	ANNUAL	ALLAREA	mgr/m^3	1	2.678164227	28.15940032	66	DZA	Algeria	26.54357957470941	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
12	2012	ANNUAL	URBAN	mgr/m^3	2	2.678164227	28.15940032	66	DZA	Algeria	25.13371696950050	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
16	2012	ANNUAL	ALLAREA	mgr/m^3	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2012	ANNUAL	URBAN	mgr/m^3	2	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2012	ANNUAL	ALLAREA	mgr/m^3	1	1.576257417	42.54548611	7	AND	Andorra	10.37328134019478	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
20	2012	ANNUAL	URBAN	mgr/m^3	2	1.576257417	42.54548611	7	AND	Andorra	10.53572363215476	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
24	2012	ANNUAL	ALLAREA	mgr/m^3	1	17.57817062	-12.33724746	3	AGO	Angola	27.35078103011331	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
24	2012	ANNUAL	URBAN	mgr/m^3	2	17.57817062	-12.33724746	3	AGO	Angola	42.38159769784329	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
28	2012	ANNUAL	ALLAREA	mgr/m^3	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	12.99159309258173	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
28	2012	ANNUAL	URBAN	mgr/m^3	2	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	12.99999891582050	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
31	2012	ANNUAL	ALLAREA	mgr/m^3	1	50.01064725	40.39229544	19	AZE	Azerbaijan	23.76919265580271	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
31	2012	ANNUAL	URBAN	mgr/m^3	2	50.01064725	40.39229544	19	AZE	Azerbaijan	26.33227771326087	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
