geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	1990	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1995	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2000	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2005	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2007	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2009	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2014	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan	5154.567	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
8	1990	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	1995	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2000	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2005	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2007	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2009	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2014	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
10	1990	ANNUAL	NUMBER	1	2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
