geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2014	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	5154.567	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
8	2014	ANNUAL	NUMBER	1	20.06660928	41.13897007	6	ALB	Albania					
10	2014	ANNUAL	NUMBER	1	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2014	ANNUAL	NUMBER	1	2.678164227	28.15940032	66	DZA	Algeria					
16	2014	ANNUAL	NUMBER	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2014	ANNUAL	NUMBER	1	1.576257417	42.54548611	7	AND	Andorra					
24	2014	ANNUAL	NUMBER	1	17.57817062	-12.33724746	3	AGO	Angola	5316.70575	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
28	2014	ANNUAL	NUMBER	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2014	ANNUAL	NUMBER	1	50.01064725	40.39229544	19	AZE	Azerbaijan					
32	2014	ANNUAL	NUMBER	1	-65.14563274	-35.19446255	10	ARG	Argentina	6394.931	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
36	2014	ANNUAL	NUMBER	1	134.3499412	-25.57717202	17	AUS	Australia					
40	2014	ANNUAL	NUMBER	1	14.14172472	47.58704857	18	AUT	Austria					
44	2014	ANNUAL	NUMBER	1	-78.05111663	24.69546597	27	BHS	Bahamas					
48	2014	ANNUAL	NUMBER	1	50.5490754	26.04407747	26	BHR	Bahrain					
50	2014	ANNUAL	NUMBER	1	89.17660788	22.86961622	24	BGD	Bangladesh	29272.977	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
51	2014	ANNUAL	NUMBER	1	44.93839317	40.29499741	11	ARM	Armenia	269.856	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
52	2014	ANNUAL	NUMBER	1	-59.5346489	13.13648273	35	BRB	Barbados					
56	2014	ANNUAL	NUMBER	1	4.660976456	50.64104975	21	BEL	Belgium					
60	2014	ANNUAL	NUMBER	1	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2014	ANNUAL	NUMBER	1	90.45098484	27.39598568	37	BTN	Bhutan					
68	2014	ANNUAL	NUMBER	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	3213.78	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
