series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS	2.53	2.2	2.32	2.27	2.2	2.33	2.05	2.07	2.05	2.38	2.46	2.202	2010	2.46	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	3.45	3.34	3.68	5.31	5.91	5.93	7.06	8.05	8.09	10.33	8.26	8.358	2010	8.26	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	4.8	4.83	5.31	5.74	5.86	6.15	6.67	6.87	7.2	7.77	8.05	7.312	2010	8.05	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS	28.88	26.58	37.16	16.8	22.23	0	0	0.31	0.32	0.32	0.33	0.256	2010	0.33	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	1.49	1.91	2	2.09	1.98	2.31	2.35	2.42	2.65	2.76	2.77	2.59	2010	2.77	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS	11.99	7.86	7.99	8.17	8.17	10.59	11.29	10.89	9.12	9.42	10.23	10.19	2010	10.23	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS	3.63	3.94	4.48	4.98	5.89	6.56	6.82	6.98	7.72	7.23	6.95	7.14	2010	6.95	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	12.34	11.77	10.95	11.83	12.52	13.27	13.6	14.6	14.1	12.8	14.2	13.86	2010	14.2	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	METONS	47.64	47.82	44.71	47.21	44.31	45.92	43.58	45.36	45.48	43.55	43.72	44.338	2010	43.72	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	METONS	22.15	21.54	23.1	22.43	22.76	23.52	24.04	24.26	22.36	21.04	21.15	22.57	2010	21.15	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	METONS	16.58	28.85	13.96	14.34	14.81	15.15	14.79	3.47	4.17	6.39	7.31	7.226	2010	7.31	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	METONS	21.34	19.94	22.14	21.97	21.53	24.47	19.32	20.27	15.4	24.94	38.17	23.62	2010	38.17	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	METONS	1.74	1.79	1.79	1.74	1.75	1.97	2.02	2.05	1.87	1.64	1.69	1.854	2010	1.69	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	METONS	3.37	3.87	4.09	3.55	3.79	4.04	4.1	4.38	5.14	5.24	5.41	4.854	2010	5.41	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	METONS	9.8	8.64	7.83	8.24	7.06	13.84	14.07	5.09	13.23	12.65	7.06	10.42	2010	7.06	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	METONS	12.61	11.24	12.45	12.65	12.92	12.39	13.04	12.8	13.13	12.03	12.87	12.774	2010	12.87	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	METONS	8.17	8.19	8.25	8.17	8.49	8.23	8.6	9.24	10.78	7.65	8.03	8.86	2010	8.03	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	METONS	7.24	6.61	6.9	7.27	7.31	7.83	8.15	8.14	9.15	9.69	9.45	8.916	2010	9.45	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	METONS	6.62	7.33	8.53	7.56	7.05	6.44	7.3	6.95	7.97	8.23	7.9	7.67	2010	7.9	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	METONS	10.23	10.18	10.74	10.52	9.78	11.12	10.89	10.8	11.81	11.31	12.85	11.532	2010	12.85	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	METONS	8.33	8.34	8.36	8.65	8.69	8.99	9.69	10.61	11.51	11.5	12.31	11.124	2010	12.31	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	METONS	12.84	14.48	13.3	11.75	12.2	11.47	12.62	12.89	13.36	11.82	12.63	12.664	2010	12.63	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	METONS	0.83	0.75	0.71	0.74	0.79	8.88	30.59	35.51	0.99	0.92	0.96	13.794	2010	0.96	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	METONS	18.32	19.2	19.23	18.43	16.02	17.66	17.25	16.94	18.44	12.72	12.44	15.558	2010	12.44	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	METONS	12.47	13.08	13.29	13.35	15	15.52	17.53	17.83	19.72	16.19	16.16	17.486	2010	16.16	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	2.2	2.27	2.28	2.44	2.57	2.62	2.79	2.86	2.91	3	3.06	2.924	2010	3.06	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS	1.69	2	1.99	2.06	2.02	2.02	2	1.89	1.82	1.78	1.73	1.844	2010	1.73	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	8.49	8.13	8.29	9.34	10.49	10.93	12.66	13.41	15.39	15.22	14.85	14.306	2010	14.85	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	2.05	2.04	1.97	2.12	2.07	2.24	2.41	2.53	2.5	2.93	6.52	3.378	2010	6.52	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	2.66	2.87	2.83	2.82	2.91	2.95	2.97	2.88	2.95	3.08	3.16	3.008	2010	3.16	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	METONS	26.19	25.36	24.6	24.75	25.03	25.2	24.09	22.87	22.95	19.16	22.3	22.274	2010	22.3	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	METONS	2.23	2.52	2.43	2.61	2.6	2.22	2.4	2.87	3.49	3.71	3.53	3.2	2010	3.53	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	METONS	3.1	3.06	3.06	2.93	3.01	2.98	3.04	3.12	3.1	3.08	3.07	3.082	2010	3.07	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	METONS	1.91	2.89	2.7	2.84	2.72	3.11	3.32	3.4	3.57	3.28	3.6	3.434	2010	3.6	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	METONS	2.53	2.7	2.63	2.73	2.7	2.85	2.79	2.74	2.71	2.7	2.69	2.726	2010	2.69	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	METONS	41.24	41.53	40.23	42.28	44.22	43.45	43.76	45.04	43.64	42.98	43	43.684	2010	43	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	METONS	7.14	7.59	8.13	9.18	10.3	11.11	12.34	13.39	13.92	15.95	17.35	14.59	2010	17.35	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	METONS	5.71	4.85	4.58	5.18	5.17	5.63	5.39	5.56	5.82	5.69	5.39	5.57	2010	5.39	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	METONS	1.82	1.73	1.78	1.74	1.84	2.01	1.94	1.74	1.68	1.67	1.72	1.75	2010	1.72	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPC	Domestic material consumption per capita	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	METONS																
