series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS	52060672	47003820	51571148	52374912	52815564	57912628	52586436	54597828	55493908	65999560	69918576	59719261.6	2010	69918576	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	11402686	10960098	12012552	17190792	19005988	18961606	22456288	25471044	25528160	32543910	26007428	26401366	2010	26007428	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	152161824	155419104	173123312	189483952	196016640	209020976	230042240	241192816	257181936	282741408	298421440	261915968	2010	298421440	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS	1877319.38	1807500.75	2675758.5	1276852.12	1755802.62	0	0	25412	25412	25412	25412	20329.6	2010	25412	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	20684192	27514722	29757050	32197480	31559388	38260568	40219472	42864612	48465312	52163896	54202208	47583100	2010	54202208	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS	935026.38	620641	639210.44	661391.94	670236	879327.12	936743.5	914555.56	775623.88	810051.81	889920.94	865379.138	2010	889920.94	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS	29465082	32301048	37080068	41678744	49831216	56213884	59074696	61221208	68533120	64938188	63167376	63386917.6	2010	63167376	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	455373408	438795584	412118368	449286656	479610656	512707808	530112608	574291328	559376000	512140192	573182528	549820531.2	2010	573182528	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	METONS	917409472	931791872	881448576	941897920	895814976	942341376	909286912	963664832	984498816	959732864	979512000	959339084.8	2010	979512000	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	METONS	177605600	173363696	186939200	182635968	186440560	193815232	199010672	201646528	186510608	176159296	177717840	188208988.8	2010	177717840	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	METONS	4940693	8740456	4313440.5	4530257	4768757	4985874	4970764	1187026.5	1449916	2262768.25	2632233.5	2500541.65	2010	2632233.5	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	METONS	14257350	13936982	16227674	16964048	17674188	21535668	18372904	20916292	17188816	29733180	47793476	26800933.6	2010	47793476	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	METONS	230069904	240837792	245884096	242852480	247044928	282672960	292025312	300563776	276720096	245924160	255728192	274192307.2	2010	255728192	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	METONS	10356844	11835243	12450349	10765333	11482248	12185418	12308230	13099794	15310081	15545378	16024245	14457545.6	2010	16024245	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	METONS	2617917.25	2316337	2114371.5	2232270.5	1920231	3792606.75	3870196	1405455.12	3676690.5	3530690	1976141.25	2891834.574	2010	1976141.25	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	METONS	129435224	115756488	128703472	131323928	134899184	130178824	138035392	136669472	141459408	130648984	140794480	137521547.2	2010	140794480	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	METONS	4607926	4760752	4936132	5034135	5382838	5348384	5730054	6273400	7457434	5391356	5756754	6121799.6	2010	5756754	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	METONS	61498152	57260144	61044236	65583612	67142152	73281848	77604576	78736928	89978136	96861728	95962528	87828779.2	2010	95962528	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	METONS	25386270	28438522	33230682	29455300	27387728	24989466	28299418	26893256	30784686	31714822	30402304	29618897.2	2010	30402304	Environment Live	C
