series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS	0.83	1.08	1.16	1.23	1.26	1.33	1.26	1.38	1.25	1.52	1.65	1.412	2010	1.65	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	3.38	3.13	3.4	5.13	5.75	5.79	7.05	8.66	8.33	9.67	8.25	8.392	2010	8.25	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	2	2.13	2.19	2.33	2.44	2.39	2.37	2.48	2.57	3.24	3.1	2.752	2010	3.1	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS	49.34	44.82	45.96	46.05	55.95	0	0	0	0	0	0	0	2010	0	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	1.69	1.98	1.99	2.14	2.05	2.4	2.2	2.75	3.12	3.73	3.18	2.996	2010	3.18	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS	27	24.25	25.61	27.47	27.63	29.64	32.95	35.49	26.67	23.58	22.2	28.178	2010	22.2	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS	2.09	2.22	2.61	3.04	3.34	3.25	3.3	3.54	3.78	4.71	4.47	3.96	2010	4.47	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	13.03	12.46	8.45	9.22	9.79	10.79	10.83	11.85	11.68	10.99	12.06	11.482	2010	12.06	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	METONS	32.92	32.69	32.97	36.54	36.6	37.81	33.93	41	34.93	39.39	37.36	37.322	2010	37.36	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	METONS	27.73	27.23	27.98	28.87	30.47	31.04	31.28	32.69	31.64	30.77	29.81	31.238	2010	29.81	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	METONS	34.78	31.6	30.06	29.14	27.87	29.19	30.48	28	25.82	24.12	23.25	26.334	2010	23.25	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	METONS	16.81	16.11	16.17	15.59	15.07	15.18	13.91	13.43	12.65	12.43	12.31	12.946	2010	12.31	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	METONS	1.48	1.52	1.51	1.48	1.46	1.6	1.53	1.56	1.54	1.46	1.49	1.516	2010	1.49	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	METONS	2.54	2.79	2.96	3.04	3.37	3.63	3.65	4.23	4.67	4.89	4.83	4.454	2010	4.83	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	METONS	20.67	17.54	17.41	16.78	17.01	20.38	21.22	16.32	17.85	16.8	13	17.038	2010	13	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	METONS	20.16	18.86	19.15	19.62	20.25	20.72	20.62	21.4	21.73	20.54	19.27	20.712	2010	19.27	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	METONS	5.73	6.61	7.08	7.52	7.97	7.59	7.79	8.99	7.69	8.46	9.69	8.524	2010	9.69	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	METONS	4.45	4.16	4.38	4.28	3.98	4.03	4.12	4.28	4.46	4.9	4.56	4.464	2010	4.56	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	METONS	5.41	6.64	7.62	7.28	7.67	7.57	8.15	8.11	8.48	8.22	7.52	8.096	2010	7.52	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	METONS	14.02	13.4	13.41	14.81	14.92	15.19	14.44	14.72	15.18	15.99	17.43	15.552	2010	17.43	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	METONS	8.82	8.52	8.38	8.27	8.37	9.1	9.63	10.47	11.39	11.87	12.98	11.268	2010	12.98	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	METONS	10.26	10.58	10.13	10.78	10.53	10.2	10.65	11.49	9.51	9.56	9.1	10.062	2010	9.1	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	METONS																
