geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ANNUAL	KG	66.02688198	33.83160199	2	AFG	Afghanistan	2006-2010	4.206
8	1	ANNUAL	KG	20.06660928	41.13897007	6	ALB	Albania	2006-2010	2.78
10	1	ANNUAL	KG	21.47585697	-80.40897662	13	ATA	Antarctica	2006-2010	
12	1	ANNUAL	KG	2.678164227	28.15940032	66	DZA	Algeria	2006-2010	0.888
16	1	ANNUAL	KG	-170.7187269	-14.30587306	12	ASM	American Samoa	2006-2010	
20	1	ANNUAL	KG	1.576257417	42.54548611	7	AND	Andorra	2006-2010	
24	1	ANNUAL	KG	17.57817062	-12.33724746	3	AGO	Angola	2006-2010	1.094
28	1	ANNUAL	KG	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2006-2010	2.086
31	1	ANNUAL	KG	50.01064725	40.39229544	19	AZE	Azerbaijan	2006-2010	1.472
32	1	ANNUAL	KG	-65.14563274	-35.19446255	10	ARG	Argentina	2006-2010	1.71
36	1	ANNUAL	KG	134.3499412	-25.57717202	17	AUS	Australia	2006-2010	0.97
40	1	ANNUAL	KG	14.14172472	47.58704857	18	AUT	Austria	2006-2010	0.782
44	1	ANNUAL	KG	-78.05111663	24.69546597	27	BHS	Bahamas	2006-2010	1.176
48	1	ANNUAL	KG	50.5490754	26.04407747	26	BHR	Bahrain	2006-2010	0.746
50	1	ANNUAL	KG	89.17660788	22.86961622	24	BGD	Bangladesh	2006-2010	3.25
51	1	ANNUAL	KG	44.93839317	40.29499741	11	ARM	Armenia	2006-2010	2.192
52	1	ANNUAL	KG	-59.5346489	13.13648273	35	BRB	Barbados	2006-2010	1.146
56	1	ANNUAL	KG	4.660976456	50.64104975	21	BEL	Belgium	2006-2010	0.548
60	1	ANNUAL	KG	-64.78155012	32.27881922	32	BMU	Bermuda	2006-2010	
64	1	ANNUAL	KG	90.45098484	27.39598568	37	BTN	Bhutan	2006-2010	5.468
68	1	ANNUAL	KG	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2006-2010	3.996
70	1	ANNUAL	KG	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2006-2010	2.468
72	1	ANNUAL	KG	23.81380223	-22.18810073	39	BWA	Botswana	2006-2010	2.564
74	1	ANNUAL	KG	3.410732868	-54.43295905	38	BVT	Bouvet Island	2006-2010	
