geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2010	ANNUAL	KG	1	66.02688198	33.83160199	2	AFG	Afghanistan	4.5	Float		Environment Live	C
4	2010	ANNUAL	KG	1	66.02688198	33.83160199	2	AFG	Afghanistan	4.5	Float		Environment Live	C
8	2010	ANNUAL	KG	1	20.06660928	41.13897007	6	ALB	Albania	2.49	Float		Environment Live	C
8	2010	ANNUAL	KG	1	20.06660928	41.13897007	6	ALB	Albania	2.49	Float		Environment Live	C
10	2010	ANNUAL	KG	1	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2010	ANNUAL	KG	1	2.678164227	28.15940032	66	DZA	Algeria	0.98	Float		Environment Live	C
12	2010	ANNUAL	KG	1	2.678164227	28.15940032	66	DZA	Algeria	0.98	Float		Environment Live	C
16	2010	ANNUAL	KG	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2010	ANNUAL	KG	1	1.576257417	42.54548611	7	AND	Andorra					
24	2010	ANNUAL	KG	1	17.57817062	-12.33724746	3	AGO	Angola	1.12	Float		Environment Live	C
24	2010	ANNUAL	KG	1	17.57817062	-12.33724746	3	AGO	Angola	1.12	Float		Environment Live	C
28	2010	ANNUAL	KG	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	1.91	Float		Environment Live	C
28	2010	ANNUAL	KG	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	1.91	Float		Environment Live	C
31	2010	ANNUAL	KG	1	50.01064725	40.39229544	19	AZE	Azerbaijan	1.44	Float		Environment Live	C
31	2010	ANNUAL	KG	1	50.01064725	40.39229544	19	AZE	Azerbaijan	1.44	Float		Environment Live	C
32	2010	ANNUAL	KG	1	-65.14563274	-35.19446255	10	ARG	Argentina	1.65	Float		Environment Live	C
32	2010	ANNUAL	KG	1	-65.14563274	-35.19446255	10	ARG	Argentina	1.65	Float		Environment Live	C
36	2010	ANNUAL	KG	1	134.3499412	-25.57717202	17	AUS	Australia	0.96	Float		Environment Live	C
36	2010	ANNUAL	KG	1	134.3499412	-25.57717202	17	AUS	Australia	0.96	Float		Environment Live	C
40	2010	ANNUAL	KG	1	14.14172472	47.58704857	18	AUT	Austria	0.75	Float		Environment Live	C
40	2010	ANNUAL	KG	1	14.14172472	47.58704857	18	AUT	Austria	0.75	Float		Environment Live	C
44	2010	ANNUAL	KG	1	-78.05111663	24.69546597	27	BHS	Bahamas	1.1	Float		Environment Live	C
44	2010	ANNUAL	KG	1	-78.05111663	24.69546597	27	BHS	Bahamas	1.1	Float		Environment Live	C
48	2010	ANNUAL	KG	1	50.5490754	26.04407747	26	BHR	Bahrain	0.74	Float		Environment Live	C
48	2010	ANNUAL	KG	1	50.5490754	26.04407747	26	BHR	Bahrain	0.74	Float		Environment Live	C
50	2010	ANNUAL	KG	1	89.17660788	22.86961622	24	BGD	Bangladesh	2.91	Float		Environment Live	C
50	2010	ANNUAL	KG	1	89.17660788	22.86961622	24	BGD	Bangladesh	2.91	Float		Environment Live	C
51	2010	ANNUAL	KG	1	44.93839317	40.29499741	11	ARM	Armenia	2.42	Float		Environment Live	C
51	2010	ANNUAL	KG	1	44.93839317	40.29499741	11	ARM	Armenia	2.42	Float		Environment Live	C
52	2010	ANNUAL	KG	1	-59.5346489	13.13648273	35	BRB	Barbados	0.9	Float		Environment Live	C
52	2010	ANNUAL	KG	1	-59.5346489	13.13648273	35	BRB	Barbados	0.9	Float		Environment Live	C
56	2010	ANNUAL	KG	1	4.660976456	50.64104975	21	BEL	Belgium	0.51	Float		Environment Live	C
56	2010	ANNUAL	KG	1	4.660976456	50.64104975	21	BEL	Belgium	0.51	Float		Environment Live	C
60	2010	ANNUAL	KG	1	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2010	ANNUAL	KG	1	90.45098484	27.39598568	37	BTN	Bhutan	5.4	Float		Environment Live	C
64	2010	ANNUAL	KG	1	90.45098484	27.39598568	37	BTN	Bhutan	5.4	Float		Environment Live	C
68	2010	ANNUAL	KG	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	3.88	Float		Environment Live	C
68	2010	ANNUAL	KG	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	3.88	Float		Environment Live	C
70	2010	ANNUAL	KG	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2.23	Float		Environment Live	C
70	2010	ANNUAL	KG	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2.23	Float		Environment Live	C
72	2010	ANNUAL	KG	1	23.81380223	-22.18810073	39	BWA	Botswana	2.76	Float		Environment Live	C
72	2010	ANNUAL	KG	1	23.81380223	-22.18810073	39	BWA	Botswana	2.76	Float		Environment Live	C
74	2010	ANNUAL	KG	1	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2010	ANNUAL	KG	1	-53.08432878	-10.77668561	34	BRA	Brazil	2.29	Float		Environment Live	C
76	2010	ANNUAL	KG	1	-53.08432878	-10.77668561	34	BRA	Brazil	2.29	Float		Environment Live	C
84	2010	ANNUAL	KG	1	-88.70199554	17.19965901	31	BLZ	Belize	2.23	Float		Environment Live	C
84	2010	ANNUAL	KG	1	-88.70199554	17.19965901	31	BLZ	Belize	2.23	Float		Environment Live	C
86	2010	ANNUAL	KG	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2010	ANNUAL	KG	1	160.1584117	-9.622391719	204	SLB	Solomon Islands					
92	2010	ANNUAL	KG	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2010	ANNUAL	KG	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	0.61	Float		Environment Live	C
96	2010	ANNUAL	KG	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	0.61	Float		Environment Live	C
100	2010	ANNUAL	KG	1	25.23763153	42.75731323	25	BGR	Bulgaria	2.21	Float		Environment Live	C
100	2010	ANNUAL	KG	1	25.23763153	42.75731323	25	BGR	Bulgaria	2.21	Float		Environment Live	C
104	2010	ANNUAL	KG	1	96.51752295	21.19332882	149	MMR	Myanmar	4.05	Float		Environment Live	C
104	2010	ANNUAL	KG	1	96.51752295	21.19332882	149	MMR	Myanmar	4.05	Float		Environment Live	C
108	2010	ANNUAL	KG	1	29.89080992	-3.366387428	20	BDI	Burundi	7.28	Float		Environment Live	C
108	2010	ANNUAL	KG	1	29.89080992	-3.366387428	20	BDI	Burundi	7.28	Float		Environment Live	C
112	2010	ANNUAL	KG	1	28.04940161	53.54193075	30	BLR	Belarus	0.01	Float		Environment Live	C
112	2010	ANNUAL	KG	1	28.04940161	53.54193075	30	BLR	Belarus	0.01	Float		Environment Live	C
116	2010	ANNUAL	KG	1	104.922836	12.71163737	121	KHM	Cambodia	6.04	Float		Environment Live	C
116	2010	ANNUAL	KG	1	104.922836	12.71163737	121	KHM	Cambodia	6.04	Float		Environment Live	C
120	2010	ANNUAL	KG	1	12.7419827	5.692387031	47	CMR	Cameroon	1.97	Float		Environment Live	C
120	2010	ANNUAL	KG	1	12.7419827	5.692387031	47	CMR	Cameroon	1.97	Float		Environment Live	C
124	2010	ANNUAL	KG	1	-101.6575058	57.72360191	41	CAN	Canada	0.78	Float		Environment Live	C
124	2010	ANNUAL	KG	1	-101.6575058	57.72360191	41	CAN	Canada	0.78	Float		Environment Live	C
132	2010	ANNUAL	KG	1	-23.63544151	15.07791834	53	CPV	Cabo Verde	2.03	Float		Environment Live	C
132	2010	ANNUAL	KG	1	-23.63544151	15.07791834	53	CPV	Cabo Verde	2.03	Float		Environment Live	C
136	2010	ANNUAL	KG	1	-81.16740559	19.32266656	58	CYM	Cayman Islands					
140	2010	ANNUAL	KG	1	20.93559492	7.003720791	40	CAF	Central African Republic	6.77	Float		Environment Live	C
140	2010	ANNUAL	KG	1	20.93559492	7.003720791	40	CAF	Central African Republic	6.77	Float		Environment Live	C
144	2010	ANNUAL	KG	1	80.70489654	7.614693343	132	LKA	Sri Lanka	1.53	Float		Environment Live	C
144	2010	ANNUAL	KG	1	80.70489654	7.614693343	132	LKA	Sri Lanka	1.53	Float		Environment Live	C
148	2010	ANNUAL	KG	1	18.66618401	15.36279341	222	TCD	Chad	2.28	Float		Environment Live	C
148	2010	ANNUAL	KG	1	18.66618401	15.36279341	222	TCD	Chad	2.28	Float		Environment Live	C
152	2010	ANNUAL	KG	1	-71.23029019	-35.2652885	44	CHL	Chile	2.02	Float		Environment Live	C
152	2010	ANNUAL	KG	1	-71.23029019	-35.2652885	44	CHL	Chile	2.02	Float		Environment Live	C
156	2010	ANNUAL	KG	1	104.1403375	32.30955217	45	CHN	China	5.14	Float		Environment Live	C
156	2010	ANNUAL	KG	1	104.1403375	32.30955217	45	CHN	China	5.14	Float		Environment Live	C
162	2010	ANNUAL	KG	1	105.6426067	-10.4882473	57	CXR	Christmas Island					
166	2010	ANNUAL	KG	1	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
170	2010	ANNUAL	KG	1	-73.07446751	3.888209046	51	COL	Colombia	2	Float		Environment Live	C
170	2010	ANNUAL	KG	1	-73.07446751	3.888209046	51	COL	Colombia	2	Float		Environment Live	C
174	2010	ANNUAL	KG	1	43.34234565	-11.66121732	52	COM	Comoros					
175	2010	ANNUAL	KG	1	45.14015057	-12.82217691	160	MYT	Mayotte					
178	2010	ANNUAL	KG	1	15.22052612	-0.840544119	49	COG	Congo	1.4	Float		Environment Live	C
178	2010	ANNUAL	KG	1	15.22052612	-0.840544119	49	COG	Congo	1.4	Float		Environment Live	C
180	2010	ANNUAL	KG	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	7.2	Float		Environment Live	C
180	2010	ANNUAL	KG	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	7.2	Float		Environment Live	C
