series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS	17157000	23157000	25778000	28425000	30265000	33169000	32356000	36248000	33757000	42121000	46786000	38253600	2010	46786000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	11159000	10275000	11083000	16604000	18497000	18489000	22418000	27430000	26310000	30480000	25980000	26523600	2010	25980000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	63480000	68580000	71190000	76840000	81650000	81130000	81880000	87060000	91880000	118050000	115060000	98786000	2010	115060000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS	3207000	3048000	3309000	3500000	4420000	0	0	0	0	0	0	0	2010	0	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	23490000	28550000	29630000	33040000	32750000	39670000	37610000	48640000	57120000	70520000	62130000	55204000	2010	62130000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS	2106000	1916000	2049000	2225000	2266000	2460000	2735000	2981000	2267000	2028000	1931000	2388400	2010	1931000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS	16930000	18180000	21610000	25470000	28260000	27840000	28610000	31020000	33590000	42280000	40650000	35230000	2010	40650000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	480700000	464600000	318100000	349900000	375100000	416900000	422400000	465900000	463500000	439800000	4.87e+08	455720000	2010	4.87e+08	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	METONS	6.34e+08	6.37e+08	6.5e+08	7.29e+08	7.4e+08	7.76e+08	7.08e+08	8.71e+08	7.56e+08	8.68e+08	8.37e+08	8.08e+08	2010	8.37e+08	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	METONS	222400000	219200000	226400000	235100000	249600000	255700000	258900000	271700000	263900000	257600000	250500000	260520000	2010	250500000	Environment Live	C
