geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	
4	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	
4	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	
8	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	20.06660928	41.13897007	6	ALB	Albania	2013-2017	
8	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	20.06660928	41.13897007	6	ALB	Albania	2013-2017	
8	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	20.06660928	41.13897007	6	ALB	Albania	2013-2017	
10	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	
10	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	
10	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	
12	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	
12	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	
12	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	
16	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	
16	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	
16	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	
20	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.576257417	42.54548611	7	AND	Andorra	2013-2017	
20	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	1.576257417	42.54548611	7	AND	Andorra	2013-2017	
20	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	1.576257417	42.54548611	7	AND	Andorra	2013-2017	
24	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	
24	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	
