geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan					
8	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	20.06660928	41.13897007	6	ALB	Albania	38	Float		Country reports for the Second State of the World for Animal Genetic Resources http: www.fao.org.ag.againfo.programmes.en.genetics.national_report.html	C
10	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	2.678164227	28.15940032	66	DZA	Algeria	17	Float		Country reports for the Second State of the World for Animal Genetic Resources http: www.fao.org.ag.againfo.programmes.en.genetics.national_report.html	C
16	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	1.576257417	42.54548611	7	AND	Andorra					
24	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	17.57817062	-12.33724746	3	AGO	Angola					
28	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	50.01064725	40.39229544	19	AZE	Azerbaijan	48	Float		Country reports for the Second State of the World for Animal Genetic Resources http: www.fao.org.ag.againfo.programmes.en.genetics.national_report.html	C
32	2013	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_GRF_ANIMKPT	Number of locally adapted and exotic animal breeds kept in the country, total (number)	-65.14563274	-35.19446255	10	ARG	Argentina	72	Float		Country reports for the Second State of the World for Animal Genetic Resources http: www.fao.org.ag.againfo.programmes.en.genetics.national_report.html	C
