geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	1983	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1985	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1987	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1989	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1990	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1992	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1995	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1997	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2000	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2004	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2006	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2008	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2009	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2011	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2013	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
8	1983	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1985	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1987	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1989	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1990	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1992	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1995	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	1997	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2000	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2004	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2006	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2008	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2009	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2011	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2013	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
10	1983	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1985	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1987	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1989	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1990	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1992	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1995	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1997	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2000	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2004	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2006	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2008	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2009	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2011	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2013	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
12	1983	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1985	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1987	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1989	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1990	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1992	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1995	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	1997	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2000	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2004	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2006	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2008	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2009	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2011	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2013	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
16	1983	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1985	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1987	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1989	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1990	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1992	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1995	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1997	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2000	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2004	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2006	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2008	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2009	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2011	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2013	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	1983	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1985	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1987	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1989	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1990	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1992	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1995	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	1997	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2000	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2004	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2006	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2008	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2009	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2011	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2013	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
24	1983	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1985	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1987	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1989	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1990	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1992	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1995	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	1997	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2000	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2004	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2006	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2008	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2009	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2011	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
24	2013	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola					
28	1983	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1985	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1987	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1989	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1990	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1992	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1995	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1997	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2000	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
