series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	KMSQ										
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	KMSQ					304	304	2016	304	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	KMSQ										
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	KMSQ					110	110	2016	110	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	KMSQ					35437	35437	2016	35437	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	KMSQ										
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	KMSQ					24	24	2016	24	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	KMSQ					208	208	2016	208	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	KMSQ					345	345	2016	345	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARINT	Coverage of protected areas in relation to marine areas	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	KMSQ					43542	43542	2016	43542	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
