series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT										
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT					2.714431	2.714431	2016	2.714431	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT										
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT					0.085276	0.085276	2016	0.085276	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT					8.710818	8.710818	2016	8.710818	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT										
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT					0	0	2016	0	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT					0.191718	0.191718	2016	0.191718	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT					0.436531	0.436531	2016	0.436531	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT					4.01994	4.01994	2016	4.01994	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT					40.653441	40.653441	2016	40.653441	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT										
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT					0.565664	0.565664	2016	0.565664	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT					1.244628	1.244628	2016	1.244628	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT					5.35694	5.35694	2016	5.35694	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT										
2017.Q2.G.01	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT					0.005945	0.005945	2016	0.005945	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
