geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2016	ANNUAL	KMSQ	1	66.02688198	33.83160199	2	AFG	Afghanistan							
8	2016	ANNUAL	KMSQ	1	20.06660928	41.13897007	6	ALB	Albania	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	11199.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
10	2016	ANNUAL	KMSQ	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2016	ANNUAL	KMSQ	1	2.678164227	28.15940032	66	DZA	Algeria	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	128993	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
16	2016	ANNUAL	KMSQ	1	-170.7187269	-14.30587306	12	ASM	American Samoa	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	406816	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
20	2016	ANNUAL	KMSQ	1	1.576257417	42.54548611	7	AND	Andorra							
24	2016	ANNUAL	KMSQ	1	17.57817062	-12.33724746	3	AGO	Angola	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	493753.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
28	2016	ANNUAL	KMSQ	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	108492.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
31	2016	ANNUAL	KMSQ	1	50.01064725	40.39229544	19	AZE	Azerbaijan	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	79032.1	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
32	2016	ANNUAL	KMSQ	1	-65.14563274	-35.19446255	10	ARG	Argentina	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	1083150.6	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
36	2016	ANNUAL	KMSQ	1	134.3499412	-25.57717202	17	AUS	Australia	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	7432133.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
40	2016	ANNUAL	KMSQ	1	14.14172472	47.58704857	18	AUT	Austria							
44	2016	ANNUAL	KMSQ	1	-78.05111663	24.69546597	27	BHS	Bahamas	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	597705.1	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
48	2016	ANNUAL	KMSQ	1	50.5490754	26.04407747	26	BHR	Bahrain	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	7632.8	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
50	2016	ANNUAL	KMSQ	1	89.17660788	22.86961622	24	BGD	Bangladesh	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	84563.2	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
51	2016	ANNUAL	KMSQ	1	44.93839317	40.29499741	11	ARM	Armenia							
52	2016	ANNUAL	KMSQ	1	-59.5346489	13.13648273	35	BRB	Barbados	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	185019.8	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
56	2016	ANNUAL	KMSQ	1	4.660976456	50.64104975	21	BEL	Belgium	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	3465.1	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
60	2016	ANNUAL	KMSQ	1	-64.78155012	32.27881922	32	BMU	Bermuda	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	451643.7	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
64	2016	ANNUAL	KMSQ	1	90.45098484	27.39598568	37	BTN	Bhutan							
68	2016	ANNUAL	KMSQ	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)							
70	2016	ANNUAL	KMSQ	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina							
72	2016	ANNUAL	KMSQ	1	23.81380223	-22.18810073	39	BWA	Botswana							
74	2016	ANNUAL	KMSQ	1	3.410732868	-54.43295905	38	BVT	Bouvet Island							
76	2016	ANNUAL	KMSQ	1	-53.08432878	-10.77668561	34	BRA	Brazil	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	3672584.3	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
84	2016	ANNUAL	KMSQ	1	-88.70199554	17.19965901	31	BLZ	Belize	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	36249.8	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
86	2016	ANNUAL	KMSQ	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	642744.7	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
90	2016	ANNUAL	KMSQ	1	160.1584117	-9.622391719	204	SLB	Solomon Islands	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	1609756.5	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
92	2016	ANNUAL	KMSQ	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	80529.5	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
96	2016	ANNUAL	KMSQ	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	25698.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
100	2016	ANNUAL	KMSQ	1	25.23763153	42.75731323	25	BGR	Bulgaria	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	35171.9	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
104	2016	ANNUAL	KMSQ	1	96.51752295	21.19332882	149	MMR	Myanmar	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	514147.2	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
108	2016	ANNUAL	KMSQ	1	29.89080992	-3.366387428	20	BDI	Burundi							
112	2016	ANNUAL	KMSQ	1	28.04940161	53.54193075	30	BLR	Belarus							
116	2016	ANNUAL	KMSQ	1	104.922836	12.71163737	121	KHM	Cambodia	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	47966.9	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
120	2016	ANNUAL	KMSQ	1	12.7419827	5.692387031	47	CMR	Cameroon	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	14704.3	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
124	2016	ANNUAL	KMSQ	1	-101.6575058	57.72360191	41	CAN	Canada	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	5698082.7	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
132	2016	ANNUAL	KMSQ	1	-23.63544151	15.07791834	53	CPV	Cabo Verde							
136	2016	ANNUAL	KMSQ	1	-81.16740559	19.32266656	58	CYM	Cayman Islands	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	119605.5	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
140	2016	ANNUAL	KMSQ	1	20.93559492	7.003720791	40	CAF	Central African Republic							
144	2016	ANNUAL	KMSQ	1	80.70489654	7.614693343	132	LKA	Sri Lanka	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	534085	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
148	2016	ANNUAL	KMSQ	1	18.66618401	15.36279341	222	TCD	Chad							
152	2016	ANNUAL	KMSQ	1	-71.23029019	-35.2652885	44	CHL	Chile	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	3657313	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
156	2016	ANNUAL	KMSQ	1	104.1403375	32.30955217	45	CHN	China	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	878364.1	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
162	2016	ANNUAL	KMSQ	1	105.6426067	-10.4882473	57	CXR	Christmas Island	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	330035.5	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
166	2016	ANNUAL	KMSQ	1	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	470116.6	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
170	2016	ANNUAL	KMSQ	1	-73.07446751	3.888209046	51	COL	Colombia	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	730741.8	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
174	2016	ANNUAL	KMSQ	1	43.34234565	-11.66121732	52	COM	Comoros	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	165505.1	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
175	2016	ANNUAL	KMSQ	1	45.14015057	-12.82217691	160	MYT	Mayotte	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	63362.3	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
178	2016	ANNUAL	KMSQ	1	15.22052612	-0.840544119	49	COG	Congo	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	39863.6	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
180	2016	ANNUAL	KMSQ	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	13265.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
184	2016	ANNUAL	KMSQ	1	-159.7711391	-21.22696458	50	COK	Cook Islands	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	1972842.4	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
188	2016	ANNUAL	KMSQ	1	-84.19712782	9.970998683	54	CRI	Costa Rica	ER_MRN_TOTL	Coverage of protected areas in relation to marine areas	576110.2	Float		Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
