geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2017	ANNUAL	KMSQ	1	66.02688198	33.83160199	2	AFG	Afghanistan	ER_MTN_GRNCOV	Mountain Green Cover Index	217.4966039648438	Float		Food and Agriculture Organisation of United Nations ( FAO)	
8	2017	ANNUAL	KMSQ	1	20.06660928	41.13897007	6	ALB	Albania	ER_MTN_GRNCOV	Mountain Green Cover Index	17.0740104296875	Float		Food and Agriculture Organisation of United Nations ( FAO)	
10	2017	ANNUAL	KMSQ	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2017	ANNUAL	KMSQ	1	2.678164227	28.15940032	66	DZA	Algeria	ER_MTN_GRNCOV	Mountain Green Cover Index	102.7453805664063	Float		Food and Agriculture Organisation of United Nations ( FAO)	
16	2017	ANNUAL	KMSQ	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2017	ANNUAL	KMSQ	1	1.576257417	42.54548611	7	AND	Andorra							
24	2017	ANNUAL	KMSQ	1	17.57817062	-12.33724746	3	AGO	Angola	ER_MTN_GRNCOV	Mountain Green Cover Index	165.4531588476563	Float		Food and Agriculture Organisation of United Nations ( FAO)	
28	2017	ANNUAL	KMSQ	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda							
31	2017	ANNUAL	KMSQ	1	50.01064725	40.39229544	19	AZE	Azerbaijan	ER_MTN_GRNCOV	Mountain Green Cover Index	29.7902772656250	Float		Food and Agriculture Organisation of United Nations ( FAO)	
32	2017	ANNUAL	KMSQ	1	-65.14563274	-35.19446255	10	ARG	Argentina	ER_MTN_GRNCOV	Mountain Green Cover Index	415.0103280859374	Float		Food and Agriculture Organisation of United Nations ( FAO)	
36	2017	ANNUAL	KMSQ	1	134.3499412	-25.57717202	17	AUS	Australia	ER_MTN_GRNCOV	Mountain Green Cover Index	313.7283396484375	Float		Food and Agriculture Organisation of United Nations ( FAO)	
40	2017	ANNUAL	KMSQ	1	14.14172472	47.58704857	18	AUT	Austria	ER_MTN_GRNCOV	Mountain Green Cover Index	51.4768672656250	Float		Food and Agriculture Organisation of United Nations ( FAO)	
44	2017	ANNUAL	KMSQ	1	-78.05111663	24.69546597	27	BHS	Bahamas							
48	2017	ANNUAL	KMSQ	1	50.5490754	26.04407747	26	BHR	Bahrain							
50	2017	ANNUAL	KMSQ	1	89.17660788	22.86961622	24	BGD	Bangladesh	ER_MTN_GRNCOV	Mountain Green Cover Index	1.8090105468750	Float		Food and Agriculture Organisation of United Nations ( FAO)	
51	2017	ANNUAL	KMSQ	1	44.93839317	40.29499741	11	ARM	Armenia	ER_MTN_GRNCOV	Mountain Green Cover Index	20.1397205859375	Float		Food and Agriculture Organisation of United Nations ( FAO)	
52	2017	ANNUAL	KMSQ	1	-59.5346489	13.13648273	35	BRB	Barbados							
56	2017	ANNUAL	KMSQ	1	4.660976456	50.64104975	21	BEL	Belgium	ER_MTN_GRNCOV	Mountain Green Cover Index	0.5096719531250	Float		Food and Agriculture Organisation of United Nations ( FAO)	
60	2017	ANNUAL	KMSQ	1	-64.78155012	32.27881922	32	BMU	Bermuda							
64	2017	ANNUAL	KMSQ	1	90.45098484	27.39598568	37	BTN	Bhutan	ER_MTN_GRNCOV	Mountain Green Cover Index	32.5621898437500	Float		Food and Agriculture Organisation of United Nations ( FAO)	
68	2017	ANNUAL	KMSQ	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	ER_MTN_GRNCOV	Mountain Green Cover Index	317.6510836523437	Float		Food and Agriculture Organisation of United Nations ( FAO)	
70	2017	ANNUAL	KMSQ	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	ER_MTN_GRNCOV	Mountain Green Cover Index	34.4028568359375	Float		Food and Agriculture Organisation of United Nations ( FAO)	
72	2017	ANNUAL	KMSQ	1	23.81380223	-22.18810073	39	BWA	Botswana	ER_MTN_GRNCOV	Mountain Green Cover Index	1.7298465234375	Float		Food and Agriculture Organisation of United Nations ( FAO)	
74	2017	ANNUAL	KMSQ	1	3.410732868	-54.43295905	38	BVT	Bouvet Island							
