geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	66.02688198	33.83160199	2	AFG	Afghanistan	56.002422	Float		Food and Agriculture Organisation of United Nations ( FAO)	
8	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	20.06660928	41.13897007	6	ALB	Albania	89.333333	Float		Food and Agriculture Organisation of United Nations ( FAO)	
10	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	2.678164227	28.15940032	66	DZA	Algeria	44.04493	Float		Food and Agriculture Organisation of United Nations ( FAO)	
16	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	1.576257417	42.54548611	7	AND	Andorra					
24	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	17.57817062	-12.33724746	3	AGO	Angola	94.499118	Float		Food and Agriculture Organisation of United Nations ( FAO)	
28	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	50.01064725	40.39229544	19	AZE	Azerbaijan	96.89062	Float		Food and Agriculture Organisation of United Nations ( FAO)	
32	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	-65.14563274	-35.19446255	10	ARG	Argentina	63.570468	Float		Food and Agriculture Organisation of United Nations ( FAO)	
