series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2017	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	56.002422	2017	56.002422	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	89.333333	2017	89.333333	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	44.04493	2017	44.04493	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	94.499118	2017	94.499118	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	96.89062	2017	96.89062	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	63.570468	2017	63.570468	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	98.036027	2017	98.036027	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	83.817427	2017	83.817427	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	87.5	2017	87.5	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	98.297609	2017	98.297609	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT	100	2017	100	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT					
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT	85.714286	2017	85.714286	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	73.412403	2017	73.412403	Food and Agriculture Organisation of United Nations ( FAO)	
2017.Q2.G.01	ER_MTN_GRNCVI	Mountain Green Cover Index	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT	94.405594	2017	94.405594	Food and Agriculture Organisation of United Nations ( FAO)	
