geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2017	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	0.0000000000000000	Float		DAD-IS 2017 http://dad.fao.org/	C
8	2017	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	11.6279069767441850	Float		DAD-IS 2017 http://dad.fao.org/	C
10	2017	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2017	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	0.0000000000000000	Float		DAD-IS 2017 http://dad.fao.org/	C
16	2017	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2017	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra							
24	2017	ANNUAL	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	0.0000000000000000	Float		DAD-IS 2017 http://dad.fao.org/	C
28	2017	ANNUAL	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	0.0000000000000000	Float		DAD-IS 2017 http://dad.fao.org/	C
31	2017	ANNUAL	PERCENT	1	50.01064725	40.39229544	19	AZE	Azerbaijan	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	0.0000000000000000	Float		DAD-IS 2017 http://dad.fao.org/	C
32	2017	ANNUAL	PERCENT	1	-65.14563274	-35.19446255	10	ARG	Argentina	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	0.0000000000000000	Float		DAD-IS 2017 http://dad.fao.org/	C
36	2017	ANNUAL	PERCENT	1	134.3499412	-25.57717202	17	AUS	Australia	ER_NRK_LBRED	Proportion of local breeds classified as being not-at-risk, total (%)	4.7619047619047620	Float		DAD-IS 2017 http://dad.fao.org/	C
