series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	2017	0.11303635	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	4	66.02688198	33.83160199	AFG	Afghanistan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	2017	0.11303635	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	0.11303635	2017	0.11303635	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	43.937522325	43.937522325	43.937522325	43.937522325	43.937522325	68.30831175	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	95.4287126	95.4287126	95.4287126	95.4287126	95.4287126	95.4287126	2017	95.4287126	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	8	20.06660928	41.13897007	ALB	Albania	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	43.937522325	43.937522325	43.937522325	43.937522325	43.937522325	68.30831175	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	95.4287126	95.4287126	95.4287126	95.4287126	95.4287126	95.4287126	2017	95.4287126	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	43.937522325	43.937522325	43.937522325	43.937522325	43.937522325	68.30831175	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	68.63545145	95.4287126	95.4287126	95.4287126	95.4287126	95.4287126	95.4287126	2017	95.4287126	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	10	21.47585697	-80.40897662	ATA	Antarctica	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	15.3846153846154	22.8846684230769	22.8846684230769	30.3503354153846	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	2017	48.9539094230769	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
