geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	0.83737033836223
4	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	0.820053102258863
4	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	0.840866680973854
8	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	20.06660928	41.13897007	6	ALB	Albania	2013-2017	0.859441590186046
8	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	20.06660928	41.13897007	6	ALB	Albania	2013-2017	0.823267674142026
8	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	20.06660928	41.13897007	6	ALB	Albania	2013-2017	0.889576372925649
10	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	0.92575069865407
10	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	0.892665129733636
10	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	0.956244974766087
12	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	0.904676749310712
12	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	0.896113405705513
12	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	0.90725136187694
16	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	0.841198100618908
16	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	0.776970550505734
16	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	0.887772456786306
20	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1.576257417	42.54548611	7	AND	Andorra	2013-2017	0.919380162348008
20	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	1.576257417	42.54548611	7	AND	Andorra	2013-2017	0.91900345486284
20	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	1.576257417	42.54548611	7	AND	Andorra	2013-2017	0.919703153248449
24	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	0.936201252733324
24	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	0.930010305963463
24	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	0.939366759350207
