geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	0.83723977603785	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
4	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	66.02688198	33.83160199	2	AFG	Afghanistan	0.817401375164134	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
4	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	66.02688198	33.83160199	2	AFG	Afghanistan	0.841982916946660	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
8	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	20.06660928	41.13897007	6	ALB	Albania	0.85464454873440	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
8	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	20.06660928	41.13897007	6	ALB	Albania	0.814180074759169	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
8	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	20.06660928	41.13897007	6	ALB	Albania	0.890036500186118	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
10	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica	0.92633272470287	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
10	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	21.47585697	-80.40897662	13	ATA	Antarctica	0.889348257080025	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
10	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	21.47585697	-80.40897662	13	ATA	Antarctica	0.963970888469326	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
12	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	2.678164227	28.15940032	66	DZA	Algeria	0.90439069142567	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
