geoAreaCode	sliceId	Freq	Location	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ANNUAL	URBAN	NOTAP	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	
4	2	ANNUAL	RURAL	NOTAP	66.02688198	33.83160199	2	AFG	Afghanistan	2013-2017	0
8	1	ANNUAL	URBAN	NOTAP	20.06660928	41.13897007	6	ALB	Albania	2013-2017	
8	2	ANNUAL	RURAL	NOTAP	20.06660928	41.13897007	6	ALB	Albania	2013-2017	
10	1	ANNUAL	URBAN	NOTAP	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	
10	2	ANNUAL	RURAL	NOTAP	21.47585697	-80.40897662	13	ATA	Antarctica	2013-2017	
12	1	ANNUAL	URBAN	NOTAP	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	
12	2	ANNUAL	RURAL	NOTAP	2.678164227	28.15940032	66	DZA	Algeria	2013-2017	
16	1	ANNUAL	URBAN	NOTAP	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	
16	2	ANNUAL	RURAL	NOTAP	-170.7187269	-14.30587306	12	ASM	American Samoa	2013-2017	
20	1	ANNUAL	URBAN	NOTAP	1.576257417	42.54548611	7	AND	Andorra	2013-2017	
20	2	ANNUAL	RURAL	NOTAP	1.576257417	42.54548611	7	AND	Andorra	2013-2017	
24	1	ANNUAL	URBAN	NOTAP	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	
24	2	ANNUAL	RURAL	NOTAP	17.57817062	-12.33724746	3	AGO	Angola	2013-2017	
28	1	ANNUAL	URBAN	NOTAP	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2013-2017	
28	2	ANNUAL	RURAL	NOTAP	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2013-2017	
31	1	ANNUAL	URBAN	NOTAP	50.01064725	40.39229544	19	AZE	Azerbaijan	2013-2017	0
31	2	ANNUAL	RURAL	NOTAP	50.01064725	40.39229544	19	AZE	Azerbaijan	2013-2017	0
32	1	ANNUAL	URBAN	NOTAP	-65.14563274	-35.19446255	10	ARG	Argentina	2013-2017	0.5
32	2	ANNUAL	RURAL	NOTAP	-65.14563274	-35.19446255	10	ARG	Argentina	2013-2017	1
36	1	ANNUAL	URBAN	NOTAP	134.3499412	-25.57717202	17	AUS	Australia	2013-2017	
36	2	ANNUAL	RURAL	NOTAP	134.3499412	-25.57717202	17	AUS	Australia	2013-2017	
