geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	66.02688198	33.83160199	2	AFG	Afghanistan	0	Float		Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
8	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	20.06660928	41.13897007	6	ALB	Albania	0	Float		Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
10	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	2.678164227	28.15940032	66	DZA	Algeria					
16	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	1.576257417	42.54548611	7	AND	Andorra					
24	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	17.57817062	-12.33724746	3	AGO	Angola					
28	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	50.01064725	40.39229544	19	AZE	Azerbaijan	0	Float		Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
32	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	-65.14563274	-35.19446255	10	ARG	Argentina	0	Float		Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
36	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	134.3499412	-25.57717202	17	AUS	Australia					
40	2017	ANNUAL	NOTAP	1	2017.Q2.G.01	ER_WAT_PROCEDN	Countries without clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management	14.14172472	47.58704857	18	AUT	Austria					
