series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	PER_100000_POP	0.383743	0.609975	0.96417	1.287793	1.531647	2.30099	2.463294	2.290037	2.211204	2.340217	2.397349	2.252595	2.2982804	2015	2.252595	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	PER_100000_POP	9.670208	11.66807	13.76968	18.48652	23.28914	23.72984	23.81054	23.84944	23.85583	23.33833	21.95345	21.92632	22.984674	2015	21.92632	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	12	2.678164227	28.15940032	DZA	Algeria	1	15+	ANNUAL	PER_100000_POP	4.705703	4.699969	4.924535	5.042656	5.219316	5.151121	5.042409	5.169092	5.214273	5.207694	5.205249	5.252908	5.2098432	2015	5.252908	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	20	1.576257417	42.54548611	AND	Andorra	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	24	17.57817062	-12.33724746	AGO	Angola	1	15+	ANNUAL	PER_100000_POP	2.004155	2.482357	3.757058	4.32109	5.211786	5.855446	8.33485	9.427912	10.18059	11.43549	11.47644	11.74908	10.8539024	2015	11.74908	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	ANNUAL	PER_100000_POP						39.51694	38.85064	36.69108	36.10434	35.53818	32.07932	30.16461	34.115506	2015	30.16461	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	ANNUAL	PER_100000_POP	6.497233	6.732139	7.305557	8.176049	9.155821	9.762874	9.849033	9.960017	9.640219	10.12596	10.72117	10.52294	10.1940612	2015	10.52294	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	ANNUAL	PER_100000_POP	13.39991	13.17815	13.18195	13.1222	13.05252	12.91679	12.92963	13.04005	13.13703	13.17432	13.16769	13.20884	13.145586	2015	13.20884	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
