series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PER_1000000_POP									157									2008	157		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PER_1000000_POP						168												2005	168		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PER_1000000_POP			85	406	152	101												2005	101		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PER_1000000_POP												52					52	2011	52		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PER_1000000_POP	713	685	688	714	761	814	886	968	1028	1033	1121	1177	1199	1194			1190	2013	1194		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PER_1000000_POP	3454		3750		4063		4232		4335		4531							2010	4531		E
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PER_1000000_POP			2973		3167	3457	3531	3816	4142	4146	4359	4406	4653	4763	4815		4659.25	2014	4815		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PER_1000000_POP															362		362	2014	362		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PER_1000000_POP	2974	3126	2959	2965	3088	3138	3281	3393	3412	3522	3736	3879	4115	4156	4176		4081.5	2014	4176		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PER_1000000_POP																					
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PER_1000000_POP	72	124	120							146	166							2010	166		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PER_1000000_POP				61	62	66	175	194					151	217	267		211.666666666667	2014	267		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PER_1000000_POP													165				165	2012	165		C
2017.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PER_1000000_POP																					
