series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	FEMALE	PERCENT										22.5									2009	22.5	ILOSTAT - LFS - Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	FEMALE	PERCENT		5.2		5.7	4.9									10.6	9.9			10.25	2014	9.9	ILOSTAT - LFS - Enquête Emploi auprès des Ménages	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	FEMALE	PERCENT		45.1																	2001	45.1	ILOSTAT - PC - Population Census	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	FEMALE	PERCENT				47.7	47.5	47.7	15.9	5.2	7.1	19.2	25.5	32.8	34.2	33	34.5	35.1		34.2	2015	35.1	ILOSTAT - LFS - Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	FEMALE	PERCENT	30	31.8	32.2	32.7	33.5	34.4	34.3	34.3	35.5	35.5	34.4	36.1	35.7	35.8	36.2			35.9	2014	36.2	ILOSTAT - LFS - Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	FEMALE	PERCENT	30.1	30.1	29.3	27.4	26.3	26.8	27.9	26.2	28.1	27.4	28.9	27.5	30.1	29.4	30.3	29.7		29.875	2015	29.7	ILOSTAT - LFS - EU Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	FEMALE	PERCENT		39.9	40.4	40.4	42.8	45.8	41.4	43.2	46.3	44.4									2009	44.4	ILOSTAT - LFS - Labour Force & Household Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	FEMALE	PERCENT		12.3																	2001	12.3	ILOSTAT - PC - Population Census	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	FEMALE	PERCENT				23.4								5.4							2011	5.4	ILOSTAT - PC - Population Census	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	FEMALE	PERCENT		23.9										31.7				29.1		29.1	2015	29.1	ILOSTAT - LFS - Household Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	FEMALE	PERCENT	35.1	41.3	42.2	44.9	43.4									48.3	48.6	50.5		49.1333333333333	2015	50.5	ILOSTAT - LFS - Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	FEMALE	PERCENT	32.1	32.9	31.8	29.9	29.9	31.8	31.5	33.8	32.7	34	34.1	29.9	32.4	31.4	31.7	32.6		32.025	2015	32.6	ILOSTAT - LFS - EU Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	FEMALE	PERCENT	55									48.9	43.5								2010	43.5	ILOSTAT - LFS - Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	FEMALE	PERCENT										11.3	49.2	26.7	27.6	17	16.5	18.5		19.9	2015	18.5	ILOSTAT - LFS - Labour Force Survey Report	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	FEMALE	PERCENT	38.6	17.6	19.6		30.7	32	27.7	29		35.1									2009	35.1	ILOSTAT - HIES - Encuesta de Hogares	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	FEMALE	PERCENT															24.2	22		23.1	2015	22	ILOSTAT - LFS - Labour Force Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	FEMALE	PERCENT	35.4	30.9		33			30.5				38.6								2010	38.6	ILOSTAT - HS - Botswana Core Welfare Indicators (Poverty) Survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	FEMALE	PERCENT	31.2		32.6	33.9	33.9	35.4	35.2	36.1		36		36.4	37.3	37.5	37.4			37.4	2014	37.4	ILOSTAT - LFS - Pesquisa Nacional por Amostra de Domicílios	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	FEMALE	PERCENT						41.3										45.8		45.8	2015	45.8	ILOSTAT - LFS - Labour force survey	C
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	FEMALE	PERCENT		25.7													33.8			33.8	2014	33.8	ILOSTAT - LFS - Labour force survey	C
