series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	33102038.592	2015	33102038.592		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	24723377.503951	2015	24723377.503951		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	46043000	2015	46043000		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	526545.36	2015	526545.36		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	41954600	2015	41954600		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	243772566.5	2015	243772566.5		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1887295820	2015	1887295820		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	351379000	2015	351379000		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	172730.88	2015	172730.88		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	240107004	2015	240107004		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	182692553.345455	2015	182692553.345455		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1464316900	2015	1464316900		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	538041.372	2015	538041.372		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	9456548.797039	2015	9456548.797039		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	87.72	2015	87.72		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	94729.668	2015	94729.668		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1493939000	2015	1493939000		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	2463420.011	2015	2463420.011		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	3691584.78	2015	3691584.78		
