geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	66.02688198	33.83160199	2	AFG	Afghanistan	1929907.728	Float		International Civil Aviation Organization (ICAO)	
8	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	20.06660928	41.13897007	6	ALB	Albania					
10	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	2.678164227	28.15940032	66	DZA	Algeria	5910835.509682	Float		International Civil Aviation Organization (ICAO)	
16	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	1.576257417	42.54548611	7	AND	Andorra					
24	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	17.57817062	-12.33724746	3	AGO	Angola	1244491	Float		International Civil Aviation Organization (ICAO)	
28	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	1039809.96	Float		International Civil Aviation Organization (ICAO)	
31	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	50.01064725	40.39229544	19	AZE	Azerbaijan	1803112	Float		International Civil Aviation Organization (ICAO)	
32	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-65.14563274	-35.19446255	10	ARG	Argentina	14245183.352	Float		International Civil Aviation Organization (ICAO)	
36	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	134.3499412	-25.57717202	17	AUS	Australia	69294187	Float		International Civil Aviation Organization (ICAO)	
40	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	14.14172472	47.58704857	18	AUT	Austria	14718641.22	Float		International Civil Aviation Organization (ICAO)	
44	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-78.05111663	24.69546597	27	BHS	Bahamas	587516.94	Float		International Civil Aviation Organization (ICAO)	
48	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	50.5490754	26.04407747	26	BHR	Bahrain	5313756	Float		International Civil Aviation Organization (ICAO)	
50	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	89.17660788	22.86961622	24	BGD	Bangladesh	2906799.490286	Float		International Civil Aviation Organization (ICAO)	
51	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	44.93839317	40.29499741	11	ARM	Armenia					
52	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-59.5346489	13.13648273	35	BRB	Barbados					
56	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	4.660976456	50.64104975	21	BEL	Belgium	11193023.096	Float		International Civil Aviation Organization (ICAO)	
60	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	90.45098484	27.39598568	37	BTN	Bhutan	162864.24	Float		International Civil Aviation Organization (ICAO)	
68	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2578959.921511	Float		International Civil Aviation Organization (ICAO)	
70	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	7070.748	Float		International Civil Aviation Organization (ICAO)	
72	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	23.81380223	-22.18810073	39	BWA	Botswana	194005.56	Float		International Civil Aviation Organization (ICAO)	
74	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-53.08432878	-10.77668561	34	BRA	Brazil	102039359	Float		International Civil Aviation Organization (ICAO)	
84	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-88.70199554	17.19965901	31	BLZ	Belize	935603.636	Float		International Civil Aviation Organization (ICAO)	
86	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	160.1584117	-9.622391719	204	SLB	Solomon Islands	373738.716	Float		International Civil Aviation Organization (ICAO)	
92	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	114.6288563	4.49736984	36	BRN	Brunei Darussalam	1150003	Float		International Civil Aviation Organization (ICAO)	
100	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	25.23763153	42.75731323	25	BGR	Bulgaria	1118689.8	Float		International Civil Aviation Organization (ICAO)	
104	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	96.51752295	21.19332882	149	MMR	Myanmar	2029139.652	Float		International Civil Aviation Organization (ICAO)	
108	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	29.89080992	-3.366387428	20	BDI	Burundi					
112	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	28.04940161	53.54193075	30	BLR	Belarus	1489035	Float		International Civil Aviation Organization (ICAO)	
116	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	104.922836	12.71163737	121	KHM	Cambodia	1103880	Float		International Civil Aviation Organization (ICAO)	
120	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	12.7419827	5.692387031	47	CMR	Cameroon	267208.848	Float		International Civil Aviation Organization (ICAO)	
124	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-101.6575058	57.72360191	41	CAN	Canada	80228301.716	Float		International Civil Aviation Organization (ICAO)	
132	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-23.63544151	15.07791834	53	CPV	Cabo Verde	567182.328	Float		International Civil Aviation Organization (ICAO)	
136	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-81.16740559	19.32266656	58	CYM	Cayman Islands					
140	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	20.93559492	7.003720791	40	CAF	Central African Republic					
144	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	80.70489654	7.614693343	132	LKA	Sri Lanka	4911730	Float		International Civil Aviation Organization (ICAO)	
148	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	18.66618401	15.36279341	222	TCD	Chad					
152	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-71.23029019	-35.2652885	44	CHL	Chile	15006762	Float		International Civil Aviation Organization (ICAO)	
156	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	104.1403375	32.30955217	45	CHN	China	436183969	Float		International Civil Aviation Organization (ICAO)	
162	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	105.6426067	-10.4882473	57	CXR	Christmas Island					
166	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
170	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-73.07446751	3.888209046	51	COL	Colombia	30742928	Float		International Civil Aviation Organization (ICAO)	
174	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	43.34234565	-11.66121732	52	COM	Comoros					
175	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	45.14015057	-12.82217691	160	MYT	Mayotte					
178	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	15.22052612	-0.840544119	49	COG	Congo	657926.892	Float		International Civil Aviation Organization (ICAO)	
180	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	476352.998641	Float		International Civil Aviation Organization (ICAO)	
184	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-159.7711391	-21.22696458	50	COK	Cook Islands	87125.4	Float		International Civil Aviation Organization (ICAO)	
188	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-84.19712782	9.970998683	54	CRI	Costa Rica	1617075.73	Float		International Civil Aviation Organization (ICAO)	
191	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	17.95874553	45.45172212	101	HRV	Croatia	1782666	Float		International Civil Aviation Organization (ICAO)	
192	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-79.54460144	22.10030366	55	CUB	Cuba	1294458.245619	Float		International Civil Aviation Organization (ICAO)	
196	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	33.22285964	35.05659437	59	CYP	Cyprus	23404.512	Float		International Civil Aviation Organization (ICAO)	
203	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	15.33151382	49.73913871	60	CZE	Czechia	4971616.027	Float		International Civil Aviation Organization (ICAO)	
204	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	2.339933594	9.65401646	22	BEN	Benin	112392.36	Float		International Civil Aviation Organization (ICAO)	
208	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	9.326571283	56.03829721	64	DNK	Denmark					
212	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-61.3493756	15.43391378	63	DMA	Dominica					
214	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-70.49847576	18.89832088	65	DOM	Dominican Republic	14463.036	Float		International Civil Aviation Organization (ICAO)	
218	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-78.37005241	-1.447785891	67	ECU	Ecuador	5762485.23	Float		International Civil Aviation Organization (ICAO)	
222	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-88.86862995	13.73603564	206	SLV	El Salvador	2597649	Float		International Civil Aviation Organization (ICAO)	
226	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	400759.014794	Float		International Civil Aviation Organization (ICAO)	
231	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	39.63505296	8.631223181	73	ETH	Ethiopia	7074779.524639	Float		International Civil Aviation Organization (ICAO)	
232	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	38.11074289	16.12894644	69	ERI	Eritrea	53074.43	Float		International Civil Aviation Organization (ICAO)	
233	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	25.84093481	58.68487172	72	EST	Estonia	512388.96	Float		International Civil Aviation Organization (ICAO)	
234	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-7.122044325	62.21228119	78	FRO	Faroe Islands					
238	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)					
239	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands					
242	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	177.9660884	-17.83301566	75	FJI	Fiji	1336976	Float		International Civil Aviation Organization (ICAO)	
246	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	23.308447	61.91586738	74	FIN	Finland	9972333	Float		International Civil Aviation Organization (ICAO)	
248	2015	ANNUAL	NUMBER	1	2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	19.80945969	60.1544901	5	ALA	Åland Islands					
