series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								72	75	80	80	85	88	88.6	89	89.2	87.96	2015	89.2	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		84	90	90.4	89	91	96.5	96.5	99.3		98.2	99	99	100	99.8	100	99.56	2015	100	Minister of State for the Innovation and Public Administration
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	40	40	40	40	40	41.52	63.6	81.5						98	98	99.19	98.3966666666667	2015	99.19	Ministère de la  Poste et des Technologies de l'Information et de la Communication
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		91				91.3	91.3	99	99	99.1	99.1	99.1	99.1	99.1	99.1	99.5	99.18	2015	99.5	Andorra Telecom SAU
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							40							90	92	99	93.6666666666667	2015	99	Angolan Institute of Communications
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			85		100	100	100	100	100	100	100	100	100	100	99		99.75	2014	99	
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	93.5	94	95	95	97	99	95	99	99	99.6	100	100	100	100	100	100	100	2015	100	Ministry of Communications and High Technologies (MC&HT)
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		30				94.1	94.1	94.1								98	98	2015	98	ITU estimate.
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	95.6	96	96	96	96	98	98.1	98.8	98.8	99	99	99	99	99	99	99	99	2015	99	Department of Communications and the Arts
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	98	98	98	98	98.5	98.5	98.5	98.5	99	99	99	99	99	99	99	99	99	2015	99	Austrian Regulatory Authority for Broadcasting and Telecommunications
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			95	95	95	95	95	100	100	100	100				99	99	99	2015	99	Utilities Regulation and Competition Authority
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	99	99.6	2015	99	Telecommunications Regulatory Authority
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		40	44	50	70	80	90			93	96	99	99	99	99	99.4	99.08	2015	99.4	Bangladesh Telecommunication Regulatory Commission
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		38		83.4	84	85.17	87.8			95	98.9	98	99.8	100	100	100	99.56	2015	100	Ministry of Transport and Communication of Armenia
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	95	95	95	95	95	99.9	99.9	99.9				99	100	100	100		99.75	2014	100	Division of Energy & Telecommunications
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	99	99	99	99	99	99	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	100	99.92	2015	100	Belgian Institute for Postal Services and Telecommunications
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					98											99	99	2015	99	ITU estimate
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						5.4	11.7	21.4			98	98				98	98	2015	98	Ministry of Information & Communications
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		43				45.9	45.9	45.9			69	80	95	100	100	100	95	2015	100	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	60	80	90	93	95	97	99	99	99.3	99.5	99.7	99.7	99.8	99.8	99.8	100	99.82	2015	100	Communications Regulatory Agency B & H
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			99	99	99	99	99	99	99			96	96		98	98	97	2015	98	Botswana Communications Regulatory Authority (BOCRA)
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					88	88.35	89.42	90.64	91.72	96.58	99.89	99.99	99.99	99.98		92.11	98.0175	2015	92.11	Agência Nacional de Telecomunicaçoes
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	35															91	91	2015	91	Telecommunications Commission of the Solomon Islands
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP															90	96	93	2015	96	ITU estimate
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																97	97	2015	97	Authority for Info-communications Technology Industry of Brunei Darussalam
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	95	95	95.73	99.36		99.7	99.82	99.95	99.96	99.97	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2015	99.99	Communications Regulation Commission
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							10								73	95	84	2015	95	Posts and Telecommunications Department, Ministry of communications and Information Technology
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							82			83						52.5	52.5	2015	52.5	Agence de Régulation et de Contrôle des Télécommunications
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			87	87	88	90	92.5	96.6	98.6	99.4	99.7	99.7	99.7	99.9	99.8	99.9	99.8	2015	99.9	Ministry of Communications and Informatization
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	80	85	87	87.5		75	85	87	87	99	99	99	99	99	99	99	99	2015	99	Telecommunication Regulator of Cambodia (TRC)
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	37	43	43	45	49	54	58									92	92	2015	92	ITU estimate
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	90				94	97	98	98	98	99	99	99	99	99	99	99.3	99.06	2015	99.3	Canadian Radio-television and Telecommunications Commission
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		90			86	85	87	91	96			96	96		98.44	98.76	97.3	2015	98.76	Agencia Nacional das Comunicaçoes
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					99	100	100	100	100	100	100	100	100	100	100	100	100	2015	100	Information and Communications Technology Authority
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		17.8				19.3	19.3				55	56	63		62	59	60	2015	59	Agence de Régulation des Télécommunications (ART)
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		57.9			80	85	90	90	95	96	98	98	98	98		98.96	98.24	2015	98.96	
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		7.7				23.8	24				25.2	31.1	84	85	86	86	74.42	2015	86	Autorité de Régulation des Communications Électroniques et des Postes
2017.Q2.G.01	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	100	100	100	100	100	100	100	100	100	100	100	100	95		96	96	96.75	2015	96	Subsecretaría de Telecomunicaciones
