geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ANNUAL	CON_USD	66.02688198	33.83160199	2	AFG	Afghanistan	2012-2016	69.3866861954246
8	1	ANNUAL	CON_USD	20.06660928	41.13897007	6	ALB	Albania	2012-2016	269.536008527171
10	1	ANNUAL	CON_USD	21.47585697	-80.40897662	13	ATA	Antarctica	2012-2016	
12	1	ANNUAL	CON_USD	2.678164227	28.15940032	66	DZA	Algeria	2012-2016	241.061705496397
16	1	ANNUAL	CON_USD	-170.7187269	-14.30587306	12	ASM	American Samoa	2012-2016	
20	1	ANNUAL	CON_USD	1.576257417	42.54548611	7	AND	Andorra	2012-2016	
24	1	ANNUAL	CON_USD	17.57817062	-12.33724746	3	AGO	Angola	2012-2016	198.499075085882
28	1	ANNUAL	CON_USD	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2012-2016	277.747858396158
31	1	ANNUAL	CON_USD	50.01064725	40.39229544	19	AZE	Azerbaijan	2012-2016	306.247031576653
32	1	ANNUAL	CON_USD	-65.14563274	-35.19446255	10	ARG	Argentina	2012-2016	1857.59375308009
36	1	ANNUAL	CON_USD	134.3499412	-25.57717202	17	AUS	Australia	2012-2016	4129.46385885248
40	1	ANNUAL	CON_USD	14.14172472	47.58704857	18	AUT	Austria	2012-2016	8358.3494413827
44	1	ANNUAL	CON_USD	-78.05111663	24.69546597	27	BHS	Bahamas	2012-2016	758.857885918771
48	1	ANNUAL	CON_USD	50.5490754	26.04407747	26	BHR	Bahrain	2012-2016	3152.82228314455
50	1	ANNUAL	CON_USD	89.17660788	22.86961622	24	BGD	Bangladesh	2012-2016	169.897022670246
51	1	ANNUAL	CON_USD	44.93839317	40.29499741	11	ARM	Armenia	2012-2016	392.551082615199
52	1	ANNUAL	CON_USD	-59.5346489	13.13648273	35	BRB	Barbados	2012-2016	799.886771033167
56	1	ANNUAL	CON_USD	4.660976456	50.64104975	21	BEL	Belgium	2012-2016	5937.30636199162
60	1	ANNUAL	CON_USD	-64.78155012	32.27881922	32	BMU	Bermuda	2012-2016	
64	1	ANNUAL	CON_USD	90.45098484	27.39598568	37	BTN	Bhutan	2012-2016	217.721559341005
68	1	ANNUAL	CON_USD	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2012-2016	250.685713327858
70	1	ANNUAL	CON_USD	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2012-2016	514.651188833381
72	1	ANNUAL	CON_USD	23.81380223	-22.18810073	39	BWA	Botswana	2012-2016	455.296176458358
