series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2012	2013	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	4	66.02688198	33.83160199	AFG	Afghanistan	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	4	66.02688198	33.83160199	AFG	Afghanistan	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	4	66.02688198	33.83160199	AFG	Afghanistan	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	4	66.02688198	33.83160199	AFG	Afghanistan	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	4	66.02688198	33.83160199	AFG	Afghanistan	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	4	66.02688198	33.83160199	AFG	Afghanistan	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	8	20.06660928	41.13897007	ALB	Albania	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	8	20.06660928	41.13897007	ALB	Albania	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	8	20.06660928	41.13897007	ALB	Albania	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	8	20.06660928	41.13897007	ALB	Albania	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	8	20.06660928	41.13897007	ALB	Albania	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	8	20.06660928	41.13897007	ALB	Albania	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	10	21.47585697	-80.40897662	ATA	Antarctica	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	10	21.47585697	-80.40897662	ATA	Antarctica	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	10	21.47585697	-80.40897662	ATA	Antarctica	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	10	21.47585697	-80.40897662	ATA	Antarctica	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	10	21.47585697	-80.40897662	ATA	Antarctica	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	10	21.47585697	-80.40897662	ATA	Antarctica	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	12	2.678164227	28.15940032	DZA	Algeria	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	12	2.678164227	28.15940032	DZA	Algeria	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	12	2.678164227	28.15940032	DZA	Algeria	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	12	2.678164227	28.15940032	DZA	Algeria	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	12	2.678164227	28.15940032	DZA	Algeria	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	12	2.678164227	28.15940032	DZA	Algeria	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	20	1.576257417	42.54548611	AND	Andorra	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	20	1.576257417	42.54548611	AND	Andorra	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	20	1.576257417	42.54548611	AND	Andorra	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	20	1.576257417	42.54548611	AND	Andorra	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	20	1.576257417	42.54548611	AND	Andorra	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	20	1.576257417	42.54548611	AND	Andorra	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	24	17.57817062	-12.33724746	AGO	Angola	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	24	17.57817062	-12.33724746	AGO	Angola	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	24	17.57817062	-12.33724746	AGO	Angola	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	24	17.57817062	-12.33724746	AGO	Angola	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	24	17.57817062	-12.33724746	AGO	Angola	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	24	17.57817062	-12.33724746	AGO	Angola	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	32	-65.14563274	-35.19446255	ARG	Argentina	1	16-65	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	32	-65.14563274	-35.19446255	ARG	Argentina	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	32	-65.14563274	-35.19446255	ARG	Argentina	3	15-64	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	32	-65.14563274	-35.19446255	ARG	Argentina	4	15-64	ANNUAL	BOTHSEX	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	32	-65.14563274	-35.19446255	ARG	Argentina	5	16-65	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	32	-65.14563274	-35.19446255	ARG	Argentina	6	16-65	ANNUAL	FEMALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	36	134.3499412	-25.57717202	AUS	Australia	1	16-65	ANNUAL	BOTHSEX	PERCENT	96.808668			96.808668	2012	96.808668	Programme for the International Assessment of Adult Competencies (PIAAC)	C
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	36	134.3499412	-25.57717202	AUS	Australia	2	15-64	ANNUAL	MALE	PERCENT								
2017.Q2.G.01	SE_ADT_LTRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills	36	134.3499412	-25.57717202	AUS	Australia	3	15-64	ANNUAL	FEMALE	PERCENT								
