geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	66.02688198	33.83160199	2	AFG	Afghanistan	2012-2016	
8	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	20.06660928	41.13897007	6	ALB	Albania	2012-2016	
10	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	21.47585697	-80.40897662	13	ATA	Antarctica	2012-2016	
12	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	2.678164227	28.15940032	66	DZA	Algeria	2012-2016	
16	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-170.7187269	-14.30587306	12	ASM	American Samoa	2012-2016	
20	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	1.576257417	42.54548611	7	AND	Andorra	2012-2016	
24	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	17.57817062	-12.33724746	3	AGO	Angola	2012-2016	
28	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2012-2016	
31	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	50.01064725	40.39229544	19	AZE	Azerbaijan	2012-2016	
32	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-65.14563274	-35.19446255	10	ARG	Argentina	2012-2016	
36	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	134.3499412	-25.57717202	17	AUS	Australia	2012-2016	
40	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	14.14172472	47.58704857	18	AUT	Austria	2012-2016	
44	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-78.05111663	24.69546597	27	BHS	Bahamas	2012-2016	
48	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	50.5490754	26.04407747	26	BHR	Bahrain	2012-2016	
50	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	89.17660788	22.86961622	24	BGD	Bangladesh	2012-2016	
51	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	44.93839317	40.29499741	11	ARM	Armenia	2012-2016	
52	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-59.5346489	13.13648273	35	BRB	Barbados	2012-2016	
56	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	4.660976456	50.64104975	21	BEL	Belgium	2012-2016	
60	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-64.78155012	32.27881922	32	BMU	Bermuda	2012-2016	
64	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	90.45098484	27.39598568	37	BTN	Bhutan	2012-2016	
68	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2012-2016	
70	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2012-2016	
72	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	23.81380223	-22.18810073	39	BWA	Botswana	2012-2016	
74	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	3.410732868	-54.43295905	38	BVT	Bouvet Island	2012-2016	
76	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-53.08432878	-10.77668561	34	BRA	Brazil	2012-2016	
84	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-88.70199554	17.19965901	31	BLZ	Belize	2012-2016	
86	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2012-2016	
