geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	66.02688198	33.83160199	2	AFG	Afghanistan	2010-2014	
8	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	20.06660928	41.13897007	6	ALB	Albania	2010-2014	
10	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	21.47585697	-80.40897662	13	ATA	Antarctica	2010-2014	
12	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	2.678164227	28.15940032	66	DZA	Algeria	2010-2014	
16	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-170.7187269	-14.30587306	12	ASM	American Samoa	2010-2014	
20	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	1.576257417	42.54548611	7	AND	Andorra	2010-2014	
24	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	17.57817062	-12.33724746	3	AGO	Angola	2010-2014	
28	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2010-2014	
31	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	50.01064725	40.39229544	19	AZE	Azerbaijan	2010-2014	
32	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-65.14563274	-35.19446255	10	ARG	Argentina	2010-2014	
36	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	134.3499412	-25.57717202	17	AUS	Australia	2010-2014	
40	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	14.14172472	47.58704857	18	AUT	Austria	2010-2014	
44	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-78.05111663	24.69546597	27	BHS	Bahamas	2010-2014	
48	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	50.5490754	26.04407747	26	BHR	Bahrain	2010-2014	
