series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	FEMALE	PERCENT							27.3092	27.3092	27.686	27.686	27.3092	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	2017	27.7108	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	FEMALE	PERCENT	5.1613	5.1613	5.7143	5.7143	5.7143	6.4286	7.1429	7.1429	7.1429	7.1429	16.4286	16.4286	15.7143	15.7143	20	20.7143	20.7143	22.8571	20	2017	22.8571	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	FEMALE	PERCENT	3.1579	3.4211	3.4211	6.1697	6.1697	6.1697	6.1697	6.1697	7.7121	7.7121	7.7121	7.7121	7.9692	31.6017	31.6017	31.6017	31.6017	31.6017	31.6017	2017	31.6017	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	FEMALE	PERCENT	7.1429	7.1429	14.2857	14.2857	14.2857	14.2857	28.5714	28.5714	25	25	35.7143	35.7143	50	50	50	50	39.2857	32.1429	44.28572	2017	32.1429	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	FEMALE	PERCENT	15.4545	15.4545	15.4545	15.4545	15.4545	15	15	15	15	37.2727	38.6364	38.6364	38.1818	34.0909	36.8182	36.8182	36.8182	38.1818	36.54546	2017	38.1818	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	FEMALE	PERCENT	5.2632	5.2632	5.2632	5.2632	5.2632	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	11.1111	11.1111	11.1111	10.87718	2017	11.1111	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	FEMALE	PERCENT	10.4	10.4	10.4839	10.4839	10.4839	10.4839	12	11.2903	11.3821	11.3821	11.3821	16	16	16	15.5738	15.5738	16.9355	16.8	16.17662	2017	16.8	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	FEMALE	PERCENT	28.0156	26.4591	30.7393	30.7393	30.7393	33.7255	36.1868	35.0195	40	40	38.5214	38.5214	37.3541	37.3541	36.5759	36.1868	35.7977	38.9105	36.965	2017	38.9105	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	FEMALE	PERCENT	22.449	22.973	25.3333	25.3333	25.3333	24.6667	24.6667	24.6667	26.6667	26.6667	27.3333	24.6667	24.6667	24.6667	26	26.6667	26.6667	28.6667	26.53336	2017	28.6667	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	FEMALE	PERCENT	26.776	26.776	26.776	33.8798	33.8798	33.8798	33.8798	32.2404	32.7869	27.3224	27.8689	27.8689	27.8689	27.8689	32.2404	30.6011	30.6011	30.6011	30.38252	2017	30.6011	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	FEMALE	PERCENT	15	15	15	20	20	20	20	20	12.1951	12.1951	12.1951	12.1951	12.1951	13.1579	13.1579	13.1579	13.1579	13.1579	13.1579	2017	13.1579	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	FEMALE	PERCENT				0	0	0	0	2.5	2.5	2.5	2.5	2.5	10	10	10	7.5	7.5	7.5	8.5	2017	7.5	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	FEMALE	PERCENT	9.0909	1.8182	1.8182	2	2	2	14.7826			6.3333	18.5507	18.5507	19.7143	19.7143	6.3973	20	20	20.2857	17.27946	2017	20.2857	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	FEMALE	PERCENT	3.0534	3.0534	3.0534	3.0534	4.5802	5.3435	5.3435	5.3435	9.1603	8.3969	9.1603	9.1603	8.3969	10.687	10.687	10.687	10.687	9.9237	10.53434	2017	9.9237	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	FEMALE	PERCENT	10.7143	10.7143	10.7143	10.7143	13.3333	13.3333	13.3333	13.3333	10	10	10	10	10	10	16.6667	16.6667	16.6667	16.6667	15.33336	2017	16.6667	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	FEMALE	PERCENT	23.3333	23.3333	23.3333	23.3333	35.3333	34.6667	34.6667	34.6667	35.3333	35.3333	38	39.3333	38	38	41.3333	39.3333	39.3333	38	39.19998	2017	38	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	FEMALE	PERCENT	2	9.3333	9.3333	9.3333	9.3333	9.3333	9.3333	2.6667	2.6667	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	2017	8.5106	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	FEMALE	PERCENT	11.5385	11.5385	11.5385	18.4615	18.4615	19.2308	16.9231	16.9231	16.9231	16.9231	22.3077	25.3846	25.3846	25.3846	25.3846	53.0769	53.0769	53.0769	41.99998	2017	53.0769	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
