geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	66.02688198	33.83160199	2	AFG	Afghanistan	0.015035076291559	Float		IFC 2000 Annual Report Volume 2	G
4	2005	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	66.02688198	33.83160199	2	AFG	Afghanistan	0.014989260464767	Float		IFC 2005 Annual Report Volume 2	G
4	2010	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	66.02688198	33.83160199	2	AFG	Afghanistan	0.014948883927093	Float		IFC 2010 Annual Report Volume 2	G
4	2015	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	66.02688198	33.83160199	2	AFG	Afghanistan	0.034302092842899	Float		IFC 2015 Annual Report Volume 2	G
4	2016	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	66.02688198	33.83160199	2	AFG	Afghanistan	0.034302092842899	Float		IFC 2016 Annual Report Volume 2	G
8	2000	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	20.06660928	41.13897007	6	ALB	Albania	0.064638333530469	Float		IFC 2000 Annual Report Volume 2	G
8	2005	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	20.06660928	41.13897007	6	ALB	Albania	0.064441363549357	Float		IFC 2005 Annual Report Volume 2	G
8	2010	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	20.06660928	41.13897007	6	ALB	Albania	0.064267777991268	Float		IFC 2010 Annual Report Volume 2	G
8	2015	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	20.06660928	41.13897007	6	ALB	Albania	0.078183717521624	Float		IFC 2015 Annual Report Volume 2	G
8	2016	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	2017.Q2.G.01	SG_INT_VRTIFC	Proportion of voting rights of developing countries in the International Finance Corporation	20.06660928	41.13897007	6	ALB	Albania	0.078183717521624	Float		IFC 2016 Annual Report Volume 2	G
