geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	66.02688198	33.83160199	2	AFG	Afghanistan	1	Float		Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).	C
4	2005	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	66.02688198	33.83160199	2	AFG	Afghanistan	1	Float		Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).	C
4	2010	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2015	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2016	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	66.02688198	33.83160199	2	AFG	Afghanistan					
8	2000	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	20.06660928	41.13897007	6	ALB	Albania	1	Float		Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).	C
8	2005	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	20.06660928	41.13897007	6	ALB	Albania					
8	2010	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	20.06660928	41.13897007	6	ALB	Albania					
8	2015	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	20.06660928	41.13897007	6	ALB	Albania					
8	2016	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	20.06660928	41.13897007	6	ALB	Albania					
10	2000	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2005	ANNUAL	NOTAP	1	2017.Q2.G.01	SG_NHR_NOAPPLN	Number of countries with National Human Rights Institutions and no application for accreditation with the Paris Principles	21.47585697	-80.40897662	13	ATA	Antarctica					
