geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	66.02688198	33.83160199	2	AFG	Afghanistan	76.923077	Float		Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
8	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	20.06660928	41.13897007	6	ALB	Albania	79.487179	Float		Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
10	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	2.678164227	28.15940032	66	DZA	Algeria					
16	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	1.576257417	42.54548611	7	AND	Andorra					
24	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	17.57817062	-12.33724746	3	AGO	Angola	94.117647	Float		Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
28	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	50.01064725	40.39229544	19	AZE	Azerbaijan					
32	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	-65.14563274	-35.19446255	10	ARG	Argentina					
36	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	134.3499412	-25.57717202	17	AUS	Australia					
40	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	14.14172472	47.58704857	18	AUT	Austria					
44	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	-78.05111663	24.69546597	27	BHS	Bahamas					
48	2017	ANNUAL	PERCENT	1	2017.Q2.G.01	SG_PLN_RECNDI	Proportion of new development interventions drawn from country-led result frameworks by recipients of development cooperation	50.5490754	26.04407747	26	BHR	Bahrain					
