series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2017	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	72.19697	2017	72.19697	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	74.499389	2017	74.499389	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	100	2017	100	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	49.865738	2017	49.865738	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	59.623016	2017	59.623016	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT	52.393162	2017	52.393162	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	45.285041	2017	45.285041	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	30.169753	2017	30.169753	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT					
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	38.41426	2017	38.41426	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	62.820513	2017	62.820513	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	55.465686	2017	55.465686	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	79.166667	2017	79.166667	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
2017.Q2.G.01	SG_PLN_RECRIMON	Proportion of results indicators which will be monitored using government sources and monitoring systems by recipients of development cooperation	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	54.166667	2017	54.166667	Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).	
