series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER															
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER															
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER		1										2008	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER								1			1	2014	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER			1									2009	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER										1	1	2016	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER										1	1	2016	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER						1					1	2012	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER							1				1	2013	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER															
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER															
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER			1									2009	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NUMBER					1							2011	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER								1			1	2014	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER		1										2008	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER			1									2009	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER		1										2008	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER															
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER										1	1	2016	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
2017.Q2.G.01	SG_REG_CENSUSN	Number of countries that have conducted at least one population and housing census in the last 10 years	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER				1								2010	1	Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.	C
